k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.001239776611328125,0.07035303115844727
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008335113525390625,0.06942582130432129
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.0008263587951660156,0.06973910331726074
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0008451938629150391,0.06999897956848145
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008189678192138672,0.06904101371765137
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.000827789306640625,0.06959867477416992
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0008480548858642578,0.0699470043182373
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008280277252197266,0.06965112686157227
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.0009391307830810547,0.07148337364196777
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0008273124694824219,0.09141325950622559
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008258819580078125,0.09135031700134277
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.000978231430053711,0.09499859809875488
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0010921955108642578,0.09449028968811035
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009751319885253906,0.0940089225769043
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0009298324584960938,0.09403252601623535
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0010483264923095703,0.0935816764831543
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0010387897491455078,0.0935831069946289
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0008931159973144531,0.0931541919708252
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.0008749961853027344,0.06957650184631348
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.0009236335754394531,0.06947565078735352
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.9096774193548387,0.944,118,23,9,5,0.0008213520050048828,0.06908798217773438
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.0008156299591064453,0.06869363784790039
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.0008044242858886719,0.06739449501037598
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9096774193548387,0.944,118,23,9,5,0.0007805824279785156,0.06759452819824219
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.0007803440093994141,0.06736588478088379
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.0007784366607666016,0.06734180450439453
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.9096774193548387,0.944,118,23,9,5,0.0007867813110351562,0.06738591194152832
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.864516129032258,0.9149797570850202,113,21,11,10,0.0007760524749755859,0.06872868537902832
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007789134979248047,0.06862306594848633
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.864516129032258,0.9156626506024096,114,20,12,9,0.0007853507995605469,0.06864070892333984
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9419354838709677,0.963265306122449,118,28,4,5,0.0007982254028320312,0.06836700439453125
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007779598236083984,0.06831884384155273
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.864516129032258,0.9156626506024096,114,20,12,9,0.0007734298706054688,0.06855940818786621
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0007762908935546875,0.06920099258422852
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00077056884765625,0.06871676445007324
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.0007789134979248047,0.06915116310119629
3,EuclideanDistance,MajorityClassVote,EqualWeighting,0.864516129032258,0.9149797570850202,113,21,11,10,0.0007817745208740234,0.08973026275634766
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007748603820800781,0.089691162109375
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9230769230769231,114,22,10,9,0.0007793903350830078,0.09041523933410645
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9290322580645162,0.9554655870445344,118,26,6,5,0.0007867813110351562,0.08965563774108887
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007805824279785156,0.09012341499328613
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9230769230769231,114,22,10,9,0.0007715225219726562,0.08971309661865234
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.0007817745208740234,0.08997225761413574
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007703304290771484,0.08961057662963867
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0007691383361816406,0.09043431282043457
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8129032258064516,0.8945454545454545,123,3,29,0,0.0007679462432861328,0.06764578819274902
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007665157318115234,0.06744623184204102
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9260700389105059,119,17,15,4,0.0007653236389160156,0.06759810447692871
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9161290322580645,0.9498069498069498,123,19,13,0,0.0007619857788085938,0.0671846866607666
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007672309875488281,0.06737494468688965
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8838709677419355,0.9296875,119,18,14,4,0.0007677078247070312,0.06746292114257812
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9161290322580645,0.9498069498069498,123,19,13,0,0.0007877349853515625,0.06775164604187012
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007648468017578125,0.06744027137756348
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.8903225806451613,0.9322709163346613,117,21,11,6,0.0007662773132324219,0.06743955612182617
5,ManhattanDistance,MajorityClassVote,EqualWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.0007839202880859375,0.06884503364562988
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007727146148681641,0.0682516098022461
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9243027888446215,116,20,12,7,0.0007719993591308594,0.06846928596496582
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9225806451612903,0.952,119,24,8,4,0.0007760524749755859,0.06906700134277344
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007770061492919922,0.06857514381408691
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9243027888446215,116,20,12,7,0.0007686614990234375,0.06841921806335449
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0007767677307128906,0.06904411315917969
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007624626159667969,0.0684823989868164
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.0007822513580322266,0.06871914863586426
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.0007834434509277344,0.09061288833618164
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007936954498291016,0.09076523780822754
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.8903225806451613,0.9317269076305221,116,22,10,7,0.0007784366607666016,0.09104800224304199
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9096774193548387,0.9444444444444444,119,22,10,4,0.00078582763671875,0.09017300605773926
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007944107055664062,0.08961057662963867
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8903225806451613,0.9317269076305221,116,22,10,7,0.0007772445678710938,0.09083700180053711
5,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967741935483871,120,27,5,3,0.0007810592651367188,0.09036993980407715
5,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007691383361816406,0.08969664573669434
5,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.0007822513580322266,0.09034562110900879
5,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.896774193548387,0.9389312977099237,123,16,16,0,0.0007688999176025391,0.06758642196655273
5,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007677078247070312,0.06761336326599121
5,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8451612903225807,0.90625,116,15,17,7,0.0007843971252441406,0.068145751953125
5,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9290322580645162,0.9571984435797666,123,21,11,0,0.0007662773132324219,0.06781196594238281
5,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008034706115722656,0.0683903694152832
5,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.864516129032258,0.9169960474308301,116,18,14,7,0.0007827281951904297,0.06835603713989258
5,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9290322580645162,0.9571984435797666,123,21,11,0,0.0007767677307128906,0.06788158416748047
5,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008604526519775391,0.07086443901062012
5,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.8774193548387097,0.9230769230769231,114,22,10,9,0.0007829666137695312,0.06839346885681152
7,ManhattanDistance,MajorityClassVote,EqualWeighting,0.8580645161290322,0.9126984126984127,115,18,14,8,0.0008256435394287109,0.07122564315795898
7,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009429454803466797,0.07167816162109375
7,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.8580645161290322,0.9140625,117,16,16,6,0.0010099411010742188,0.07222461700439453
7,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9096774193548387,0.944,118,23,9,5,0.0009355545043945312,0.07146811485290527
7,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009741783142089844,0.07140350341796875
7,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8580645161290322,0.9140625,117,16,16,6,0.000812530517578125,0.0693213939666748
7,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0008087158203125,0.06919574737548828
7,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0007872581481933594,0.06952214241027832
7,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.0008623600006103516,0.07160830497741699
7,EuclideanDistance,MajorityClassVote,EqualWeighting,0.8580645161290322,0.9126984126984127,115,18,14,8,0.0009932518005371094,0.0935521125793457
7,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009047985076904297,0.0928502082824707
7,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.0009806156158447266,0.094085693359375
7,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9032258064516129,0.9402390438247012,118,22,10,5,0.0008625984191894531,0.09235692024230957
7,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008618831634521484,0.09200835227966309
7,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.8774193548387097,0.9236947791164659,115,21,11,8,0.0008320808410644531,0.09122657775878906
7,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967741935483871,120,27,5,3,0.00078582763671875,0.0908353328704834
7,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008232593536376953,0.09105348587036133
7,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9419354838709677,0.9635627530364372,119,27,5,4,0.0009481906890869141,0.0945274829864502
7,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008304119110107422,0.0686655044555664
7,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0008008480072021484,0.06788897514343262
7,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.8451612903225807,0.9069767441860465,117,14,18,6,0.0008602142333984375,0.06989431381225586
7,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.8903225806451613,0.935361216730038,123,15,17,0,0.0009918212890625,0.07076740264892578
7,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009107589721679688,0.06961512565612793
7,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.864516129032258,0.9176470588235294,117,17,15,6,0.0009243488311767578,0.07014012336730957
7,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.8838709677419355,0.9318181818181818,123,14,18,0,0.0009052753448486328,0.07010841369628906
7,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0009829998016357422,0.07039642333984375
7,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.8838709677419355,0.9274193548387096,115,22,10,8,0.0009772777557373047,0.07069277763366699
