k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0005998611450195312,35.30040407180786
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00021409988403320312,35.53730630874634
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.0006017684936523438,34.81397008895874
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00022792816162109375,35.33748197555542
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0005459785461425781,35.705965995788574
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.0005164146423339844,35.419357776641846
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00022363662719726562,35.42760181427002
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0005102157592773438,35.65975999832153
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.0003142356872558594,35.279061794281006
1,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0004820823669433594,40.31829786300659
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0005578994750976562,40.37110424041748
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.0004100799560546875,40.70759344100952
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0003399848937988281,39.59635782241821
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00022029876708984375,40.414801597595215
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.0004639625549316406,40.542083740234375
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0007281303405761719,40.451087951660156
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0004062652587890625,40.26826810836792
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5380354505169868,0.5622302577860726,2410,1961,2247,1506,0.0012979507446289062,40.469024658203125
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.0007777214050292969,34.35907220840454
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.706794682422452,0.7562922038060159,3696,2046,2162,220,0.000217437744140625,34.525458335876465
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.00020551681518554688,34.51746606826782
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.0004138946533203125,34.90837383270264
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.706794682422452,0.7562922038060159,3696,2046,2162,220,0.00022602081298828125,34.54892015457153
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.0012917518615722656,34.45975160598755
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.0003123283386230469,34.668893814086914
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.706794682422452,0.7562922038060159,3696,2046,2162,220,0.0005941390991210938,34.48426389694214
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.00022220611572265625,34.77725172042847
3,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0003485679626464844,35.0863938331604
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0005397796630859375,35.412325859069824
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.647587395371738,0.5946481665014867,2100,3161,1047,1816,0.0003337860107421875,34.93045616149902
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0005636215209960938,35.080036640167236
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.00043010711669921875,35.45556163787842
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.647587395371738,0.5946481665014867,2100,3161,1047,1816,0.00043964385986328125,34.95527410507202
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00030803680419921875,35.01899576187134
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0009717941284179688,35.35797595977783
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6582964057114722,0.612615126988557,2195,3153,1055,1721,0.0005235671997070312,35.181015968322754
3,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.00023412704467773438,40.490039348602295
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0003075599670410156,40.35698986053467
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5391432791728212,0.5653587183654516,2435,1945,2263,1481,0.000408172607421875,40.633413314819336
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.000293731689453125,40.30619812011719
