C,kernel_type,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,linear,0.8838709677419355,0.9274193548387096,115,22,10,8,0.009463310241699219,0.0037381649017333984
1,poly,0.9483870967741935,0.967741935483871,120,27,5,3,0.008541584014892578,0.0030829906463623047
1,rbf,0.9032258064516129,0.9411764705882353,120,20,12,3,0.007879257202148438,0.0032188892364501953
1,sigmoid,0.7870967741935484,0.8791208791208791,120,2,30,3,0.007944345474243164,0.0029387474060058594
3,linear,0.8903225806451613,0.9294605809128631,112,26,6,11,0.0075414180755615234,0.002816438674926758
3,poly,0.9483870967741935,0.967479674796748,119,28,4,4,0.0077898502349853516,0.002801179885864258
3,rbf,0.9483870967741935,0.968,121,26,6,2,0.007856130599975586,0.0030927658081054688
3,sigmoid,0.7548387096774194,0.8503937007874016,108,9,23,15,0.0077571868896484375,0.0028727054595947266
5,linear,0.8774193548387097,0.921161825726141,111,25,7,12,0.008098363876342773,0.0027916431427001953
5,poly,0.9483870967741935,0.9672131147540983,118,29,3,5,0.007861852645874023,0.002832651138305664
5,rbf,0.9483870967741935,0.968,121,26,6,2,0.007930278778076172,0.003092527389526367
5,sigmoid,0.7354838709677419,0.8379446640316206,106,8,24,17,0.0078008174896240234,0.002862215042114258
7,linear,0.864516129032258,0.9121338912133892,109,25,7,14,0.008694887161254883,0.002813577651977539
7,poly,0.9483870967741935,0.9672131147540983,118,29,3,5,0.007909297943115234,0.0028488636016845703
7,rbf,0.9548387096774194,0.9718875502008032,121,27,5,2,0.00794219970703125,0.0030975341796875
7,sigmoid,0.7225806451612903,0.8286852589641435,104,8,24,19,0.007952451705932617,0.002933979034423828
