C,kernel_type,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,linear,0.9755046774987691,0.9746205841091697,3821,4104,104,95,5.8929736614227295,0.1465775966644287
1,poly,0.9986459871984245,0.9985935302390999,3905,4208,0,11,1.3047380447387695,0.077484130859375
1,rbf,0.9895371738060069,0.9890618967957792,3843,4196,12,73,1.796114444732666,0.27146387100219727
1,sigmoid,0.4885524372230428,0.4085409252669039,1435,2534,1674,2481,9.244035243988037,0.8212113380432129
3,linear,0.9801821762678483,0.9795555555555555,3857,4106,102,59,8.500191688537598,0.12115764617919922
3,poly,1.0,1.0,3916,4208,0,0,1.198214054107666,0.0443880558013916
3,rbf,0.9987690792712949,0.9987235128925198,3912,4202,6,4,1.229830026626587,0.16167712211608887
3,sigmoid,0.5097242737567701,0.4433263452131377,1586,2555,1653,2330,7.894968032836914,0.7559881210327148
5,linear,0.983259478089611,0.9827542480344915,3875,4113,95,41,11.92879056930542,0.12750744819641113
5,poly,1.0,1.0,3916,4208,0,0,1.1556227207183838,0.03391075134277344
5,rbf,0.9996307237813885,0.999617102744097,3916,4205,3,0,1.0168426036834717,0.12274336814880371
5,sigmoid,0.508985721319547,0.44248777078965756,1583,2552,1656,2333,7.760335206985474,0.7474861145019531
7,linear,0.983259478089611,0.9827891672994179,3883,4105,103,33,16.324909210205078,0.1532275676727295
7,poly,1.0,1.0,3916,4208,0,0,1.184359073638916,0.030321598052978516
7,rbf,0.9996307237813885,0.999617102744097,3916,4205,3,0,0.9561367034912109,0.10584425926208496
7,sigmoid,0.5088626292466765,0.44227005870841485,1582,2552,1656,2334,7.8257317543029785,0.75439453125
