k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0025076866149902344,152.25324845314026
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.002209901809692383,154.16586661338806
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.0025033950805664062,153.87603425979614
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002638578414916992,155.4471354484558
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0021648406982421875,153.22220849990845
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.001931905746459961,150.5907371044159
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0024566650390625,149.8789825439453
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0020291805267333984,152.32854008674622
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.002150297164916992,152.17267990112305
1,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002252340316772461,178.911883354187
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.002251863479614258,179.8216826915741
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.0021538734436035156,179.9151096343994
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0023431777954101562,178.4329493045807
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.002142667770385742,179.59083795547485
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.0020546913146972656,179.45398330688477
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0020678043365478516,178.25280952453613
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0024557113647460938,183.38637328147888
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.002071380615234375,186.50941061973572
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.002160310745239258,156.00946879386902
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7043328409650419,0.755993498577814,3721,2001,2207,195,0.001951456069946289,153.38230681419373
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.0020494461059570312,153.30525469779968
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.002207040786743164,154.78678178787231
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7043328409650419,0.755993498577814,3721,2001,2207,195,0.0023093223571777344,154.13199305534363
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.002086639404296875,155.9190378189087
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9800590841949779,0.9793314621076805,3838,4124,84,78,0.002500772476196289,155.02227807044983
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7043328409650419,0.755993498577814,3721,2001,2207,195,0.002272367477416992,154.68941450119019
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.002418041229248047,149.81094646453857
3,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0019960403442382812,149.79316544532776
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001413583755493164,151.94708943367004
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6480797636632201,0.5953290870488323,2103,3162,1046,1813,0.0020034313201904297,152.05316352844238
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002168416976928711,151.54010796546936
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0018162727355957031,154.07313084602356
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6480797636632201,0.5953290870488323,2103,3162,1046,1813,0.0021326541900634766,151.73966646194458
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002268552780151367,151.6348762512207
3,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0020062923431396484,153.54217219352722
3,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.0022487640380859375,151.69408178329468
3,EuclideanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0021142959594726562,180.54825282096863
3,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0015728473663330078,179.56682515144348
3,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5391432791728212,0.5653587183654516,2435,1945,2263,1481,0.002321958541870117,179.39326405525208
3,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.001962423324584961,177.52950835227966
3,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0019922256469726562,178.58112597465515
3,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5391432791728212,0.5653587183654516,2435,1945,2263,1481,0.002112150192260742,178.9810287952423
3,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0023956298828125,178.38635182380676
3,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001897573471069336,178.34635138511658
3,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.0018646717071533203,179.41754341125488
3,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9794436238306253,0.9785979751377675,3818,4139,69,98,0.0020265579223632812,151.01090025901794
3,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5198178237321517,0.6671785683815374,3910,313,3895,6,0.001947641372680664,151.93296217918396
3,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.560438207779419,0.5835568513119533,2502,2051,2157,1414,0.0022106170654296875,151.05422639846802
3,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.983259478089611,0.9826086956521739,3842,4146,62,74,0.0020918846130371094,151.04774808883667
3,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5198178237321517,0.6671785683815374,3910,313,3895,6,0.0016036033630371094,152.04492807388306
3,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.560438207779419,0.5835568513119533,2502,2051,2157,1414,0.0020475387573242188,151.6645164489746
3,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.983259478089611,0.9826086956521739,3842,4146,62,74,0.0017232894897460938,151.07926988601685
3,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.5198178237321517,0.6671785683815374,3910,313,3895,6,0.001756906509399414,152.44260358810425
3,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.0022220611572265625,151.43838167190552
5,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.002386808395385742,152.02934885025024
5,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0022051334381103516,153.49888825416565
5,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6586656819300837,0.6008348927594646,2087,3264,944,1829,0.0021562576293945312,151.77091336250305
5,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0021469593048095703,151.7008237838745
5,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0014681816101074219,153.53393626213074
5,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6586656819300837,0.6008348927594646,2087,3264,944,1829,0.0019295215606689453,152.12261486053467
5,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0021419525146484375,151.8200306892395
5,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001771688461303711,154.39428687095642
5,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.6585425898572131,0.612786152987158,2195,3155,1053,1721,0.0020656585693359375,151.65168499946594
5,EuclideanDistance,MajorityClassVote,EqualWeighting,0.999507631708518,0.9994894051570079,3915,4205,3,1,0.002156496047973633,177.8428030014038
5,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0020744800567626953,179.55736351013184
5,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.5496061053668144,0.5826394433671723,2554,1911,2297,1362,0.0017681121826171875,179.86185884475708
5,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9997538158542589,0.999744702578504,3916,4206,2,0,0.0015497207641601562,178.59937644004822
5,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001988649368286133,179.5094175338745
5,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5496061053668144,0.5826394433671723,2554,1911,2297,1362,0.001931905746459961,179.885160446167
5,EuclideanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0015180110931396484,178.82147073745728
5,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.001893758773803711,179.87786436080933
5,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.5381585425898572,0.5623979472824819,2411,1961,2247,1505,0.0019278526306152344,179.9305968284607
5,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9721811915312654,0.9708537529017282,3764,4134,74,152,0.0019752979278564453,151.20052909851074
5,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.5146479566715904,0.6647963954773443,3910,271,3937,6,0.0019648075103759766,152.47286009788513
5,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.5940423436730674,0.6433052130651092,2974,1852,2356,942,0.001897573471069336,151.5240912437439
5,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9807976366322009,0.9800204918032787,3826,4142,66,90,0.002042531967163086,151.77847743034363
5,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5146479566715904,0.6647963954773443,3910,271,3937,6,0.0020873546600341797,152.10501408576965
5,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.5940423436730674,0.6433052130651092,2974,1852,2356,942,0.001689910888671875,151.93872332572937
5,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9821516494337764,0.9814411877639831,3834,4145,63,82,0.0019404888153076172,151.36877465248108
5,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.5146479566715904,0.6647963954773443,3910,271,3937,6,0.0017883777618408203,152.60424828529358
5,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.551944854751354,0.5884215287200362,2602,1882,2326,1314,0.002255678176879883,151.8461971282959
7,ManhattanDistance,MajorityClassVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0020661354064941406,152.7222912311554
7,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0018718242645263672,154.75195980072021
7,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.6621122599704579,0.6063387351211817,2114,3265,943,1802,0.002053499221801758,152.02709650993347
7,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0018608570098876953,152.0976324081421
7,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48202855736090594,0.6504983388704318,3916,0,4208,0,0.0020411014556884766,153.58706784248352
7,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.6621122599704579,0.6063387351211817,2114,3265,943,1802,0.0021791458129882812,151.71811032295227
7,ManhattanDistance,ShepardsWorkVote,EqualWeighting,1.0,1.0,3916,4208,0,0,0.0019164085388183594,152.21238803863525
