C,kernel_type,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,linear,0.9755046774987691,0.9746205841091697,3821,4104,104,95,5.778252363204956,0.1437084674835205
1,poly,0.9986459871984245,0.9985935302390999,3905,4208,0,11,1.292773723602295,0.07546138763427734
1,rbf,0.9895371738060069,0.9890618967957792,3843,4196,12,73,1.7786650657653809,0.30313849449157715
1,sigmoid,0.4885524372230428,0.4085409252669039,1435,2534,1674,2481,8.947091102600098,0.7853226661682129
3,linear,0.9801821762678483,0.9795555555555555,3857,4106,102,59,8.319432497024536,0.11906242370605469
3,poly,1.0,1.0,3916,4208,0,0,1.158362627029419,0.04170107841491699
3,rbf,0.9987690792712949,0.9987235128925198,3912,4202,6,4,1.2104718685150146,0.1793661117553711
3,sigmoid,0.5097242737567701,0.4433263452131377,1586,2555,1653,2330,7.756385803222656,0.7481560707092285
5,linear,0.983259478089611,0.9827542480344915,3875,4113,95,41,11.84926152229309,0.12647247314453125
5,poly,1.0,1.0,3916,4208,0,0,1.1500706672668457,0.03281831741333008
5,rbf,0.9996307237813885,0.999617102744097,3916,4205,3,0,1.0106141567230225,0.13750100135803223
5,sigmoid,0.508985721319547,0.44248777078965756,1583,2552,1656,2333,7.723316431045532,0.7451751232147217
7,linear,0.983259478089611,0.9827891672994179,3883,4105,103,33,16.22979187965393,0.1522819995880127
7,poly,1.0,1.0,3916,4208,0,0,1.1700990200042725,0.028846025466918945
7,rbf,0.9996307237813885,0.999617102744097,3916,4205,3,0,0.9348485469818115,0.11687517166137695
7,sigmoid,0.5088626292466765,0.44227005870841485,1582,2552,1656,2334,7.718015909194946,0.7450809478759766
