k,distance_func,voting_func,weighting_func,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015783309936523438,0.013474464416503906
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015544891357421875,0.01335000991821289
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.00015783309936523438,0.013681888580322266
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015783309936523438,0.013453960418701172
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015401840209960938,0.013309955596923828
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.00015401840209960938,0.013344287872314453
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00015735626220703125,0.013378143310546875
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015211105346679688,0.013301849365234375
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.9354838709677419,0.959349593495935,118,27,5,5,0.00015592575073242188,0.01335000991821289
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.0001621246337890625,0.01765584945678711
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.00015783309936523438,0.017578125
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.9548387096774194,0.97165991902834,120,28,4,3,0.00016164779663085938,0.017762184143066406
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.00016021728515625,0.017580032348632812
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0001583099365234375,0.017520427703857422
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9548387096774194,0.97165991902834,120,28,4,3,0.00015783309936523438,0.017635822296142578
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.967479674796748,119,28,4,4,0.000156402587890625,0.017675399780273438
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.7935483870967742,0.8848920863309353,123,0,32,0,0.0001583099365234375,0.017580032348632812
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.9548387096774194,0.97165991902834,120,28,4,3,0.00015163421630859375,0.01757192611694336
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.00015783309936523438,0.013222217559814453
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.00015544891357421875,0.013218402862548828
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.9161290322580645,0.9477911646586346,118,24,8,5,0.00017595291137695312,0.013249874114990234
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.00015211105346679688,0.013219833374023438
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.00015592575073242188,0.013153553009033203
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.9161290322580645,0.9477911646586346,118,24,8,5,0.00015783309936523438,0.013210296630859375
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.9483870967741935,0.968503937007874,123,24,8,0,0.0001583099365234375,0.013167858123779297
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.7419354838709677,0.8507462686567164,114,1,31,9,0.00015211105346679688,0.013216495513916016
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.9161290322580645,0.9477911646586346,118,24,8,5,0.0001583099365234375,0.013217926025390625
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.864516129032258,0.9149797570850202,113,21,11,10,0.000156402587890625,0.013501644134521484
