k,distance_func,voting_func,weighting_func,accuracy,TP,TN,FP,FN,train_time,test_time
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.95,484,466,28,22,5.435943603515625e-05,0.051741600036621094
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,8.392333984375e-05,0.05061817169189453
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7,327,373,121,179,8.96453857421875e-05,0.051064491271972656
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.95,484,466,28,22,9.775161743164062e-05,0.05092191696166992
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,6.628036499023438e-05,0.05196189880371094
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7,327,373,121,179,9.584426879882812e-05,0.05323982238769531
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.95,484,466,28,22,9.012222290039062e-05,0.05150175094604492
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.506,506,0,494,0,7.009506225585938e-05,0.051774024963378906
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7,327,373,121,179,0.00011444091796875,0.0711679458618164
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.901,455,446,48,51,0.00010633468627929688,0.060513973236083984
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.532,491,41,453,15,0.00011968612670898438,0.060108184814453125
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.646,273,373,121,233,5.626678466796875e-05,0.05898427963256836
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.901,455,446,48,51,5.5789947509765625e-05,0.058164119720458984
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.532,491,41,453,15,0.00010061264038085938,0.059215545654296875
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.646,273,373,121,233,0.00011968612670898438,0.060042381286621094
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.901,455,446,48,51,6.723403930664062e-05,0.05942869186401367
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.532,491,41,453,15,7.200241088867188e-05,0.059175968170166016
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.646,273,373,121,233,5.1975250244140625e-05,0.05843973159790039
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.807,398,409,85,108,5.245208740234375e-05,0.04984569549560547
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.606,215,391,103,291,4.9591064453125e-05,0.05072021484375
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.599,359,240,254,147,5.0067901611328125e-05,0.04998016357421875
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.807,398,409,85,108,5.1975250244140625e-05,0.049971580505371094
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.606,215,391,103,291,5.1975250244140625e-05,0.049642086029052734
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.599,359,240,254,147,5.5789947509765625e-05,0.04941415786743164
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.807,398,409,85,108,5.054473876953125e-05,0.04938364028930664
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.606,215,391,103,291,4.9591064453125e-05,0.04981803894042969
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.599,359,240,254,147,5.0067901611328125e-05,0.04949617385864258
3,ManhattanDistance,MajorityClassVote,EqualWeighting,0.926,468,458,36,38,5.0067901611328125e-05,0.0502934455871582
3,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.506,506,0,494,0,4.9591064453125e-05,0.05008649826049805
3,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.733,335,398,96,171,4.8160552978515625e-05,0.049918174743652344
3,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.928,470,458,36,36,5.5789947509765625e-05,0.04993247985839844
3,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.506,506,0,494,0,5.0067901611328125e-05,0.05059194564819336
3,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.733,335,398,96,171,6.771087646484375e-05,0.05045604705810547
3,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.951,483,468,26,23,9.012222290039062e-05,0.05208158493041992
