k,distance_func,voting_func,weighting_func,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.0003528594970703125,0.00012803077697753906,0.000102996826171875,9.584426879882812e-05,8.58306884765625e-05,8.511543273925781e-05,9.179115295410156e-05,8.487701416015625e-05,8.96453857421875e-05,8.606910705566406e-05,0.008059024810791016,0.008211851119995117,0.007585048675537109,0.006390094757080078,0.007215261459350586,0.007236003875732422,0.00687098503112793,0.006790876388549805,0.00631403923034668,0.006851911544799805
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.7738037109375e-05,8.606910705566406e-05,8.821487426757812e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.392333984375e-05,8.296966552734375e-05,8.416175842285156e-05,8.296966552734375e-05,0.007585048675537109,0.007637977600097656,0.00723576545715332,0.006270885467529297,0.0071201324462890625,0.007232189178466797,0.006762027740478516,0.00672602653503418,0.006215810775756836,0.006776094436645508
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.893013000488281e-05,8.606910705566406e-05,8.487701416015625e-05,8.296966552734375e-05,8.273124694824219e-05,8.320808410644531e-05,8.20159912109375e-05,8.296966552734375e-05,8.320808410644531e-05,8.296966552734375e-05,0.0076029300689697266,0.007689952850341797,0.007270097732543945,0.0062792301177978516,0.007188081741333008,0.007233142852783203,0.006822824478149414,0.006706953048706055,0.006197929382324219,0.006799936294555664
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.392333984375e-05,8.487701416015625e-05,8.392333984375e-05,8.320808410644531e-05,8.296966552734375e-05,8.225440979003906e-05,8.296966552734375e-05,8.20159912109375e-05,8.20159912109375e-05,8.320808410644531e-05,0.007537841796875,0.007663249969482422,0.007227897644042969,0.0062618255615234375,0.007135868072509766,0.0072138309478759766,0.006825923919677734,0.006727933883666992,0.006237983703613281,0.006804943084716797
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.511543273925781e-05,8.440017700195312e-05,8.225440979003906e-05,8.20159912109375e-05,8.20159912109375e-05,8.20159912109375e-05,8.106231689453125e-05,8.20159912109375e-05,8.296966552734375e-05,0.0075342655181884766,0.007660627365112305,0.007196903228759766,0.006251096725463867,0.0071489810943603516,0.007192134857177734,0.00675201416015625,0.006707191467285156,0.006226062774658203,0.006804227828979492
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.392333984375e-05,8.606910705566406e-05,8.392333984375e-05,8.296966552734375e-05,8.320808410644531e-05,8.296966552734375e-05,8.273124694824219e-05,8.296966552734375e-05,8.20159912109375e-05,8.296966552734375e-05,0.007596015930175781,0.007669925689697266,0.007230043411254883,0.00625920295715332,0.007180929183959961,0.0071828365325927734,0.006821870803833008,0.0067920684814453125,0.006248950958251953,0.006804227828979492
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.225440979003906e-05,8.606910705566406e-05,8.511543273925781e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.20159912109375e-05,8.296966552734375e-05,0.007623910903930664,0.0076978206634521484,0.007229804992675781,0.00628209114074707,0.0071468353271484375,0.007219076156616211,0.0068280696868896484,0.00670623779296875,0.006239891052246094,0.006849050521850586
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.20159912109375e-05,8.511543273925781e-05,8.296966552734375e-05,0.00010395050048828125,8.916854858398438e-05,9.989738464355469e-05,8.487701416015625e-05,8.392333984375e-05,8.296966552734375e-05,8.416175842285156e-05,0.0075588226318359375,0.007617950439453125,0.0073168277740478516,0.006291866302490234,0.007140159606933594,0.007184028625488281,0.006766080856323242,0.0067310333251953125,0.006213188171386719,0.006811857223510742
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.7407407407407407,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.797645568847656e-05,8.487701416015625e-05,8.511543273925781e-05,8.296966552734375e-05,8.296966552734375e-05,8.416175842285156e-05,8.296966552734375e-05,8.20159912109375e-05,8.273124694824219e-05,8.296966552734375e-05,0.007613182067871094,0.007718086242675781,0.007200002670288086,0.0062940120697021484,0.007200956344604492,0.007237911224365234,0.006821155548095703,0.006724119186401367,0.0062100887298583984,0.0068111419677734375
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.511543273925781e-05,8.58306884765625e-05,8.511543273925781e-05,8.440017700195312e-05,8.296966552734375e-05,8.320808410644531e-05,8.296966552734375e-05,0.00010013580322265625,8.296966552734375e-05,8.296966552734375e-05,0.010074138641357422,0.010125160217285156,0.009557723999023438,0.008249759674072266,0.00948786735534668,0.009573698043823242,0.009037971496582031,0.008905887603759766,0.008255958557128906,0.009011030197143555
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.511543273925781e-05,8.392333984375e-05,8.296966552734375e-05,8.177757263183594e-05,8.296966552734375e-05,8.296966552734375e-05,8.20159912109375e-05,8.20159912109375e-05,8.296966552734375e-05,0.010118246078491211,0.010185003280639648,0.009586811065673828,0.008347034454345703,0.00949716567993164,0.009627103805541992,0.009045124053955078,0.008944988250732422,0.008288860321044922,0.009083986282348633
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.320808410644531e-05,8.58306884765625e-05,8.416175842285156e-05,8.296966552734375e-05,8.20159912109375e-05,9.202957153320312e-05,8.58306884765625e-05,8.273124694824219e-05,8.320808410644531e-05,8.296966552734375e-05,0.010190725326538086,0.010299921035766602,0.009647130966186523,0.008404016494750977,0.009653806686401367,0.009714841842651367,0.009163141250610352,0.009023189544677734,0.008337736129760742,0.009168148040771484
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.487701416015625e-05,8.606910705566406e-05,8.487701416015625e-05,8.416175842285156e-05,8.296966552734375e-05,8.702278137207031e-05,9.012222290039062e-05,8.392333984375e-05,8.225440979003906e-05,8.273124694824219e-05,0.010044097900390625,0.010185003280639648,0.009620428085327148,0.00835871696472168,0.009527921676635742,0.009584188461303711,0.009041786193847656,0.008874893188476562,0.008236169815063477,0.009048938751220703
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.487701416015625e-05,8.916854858398438e-05,0.00013589859008789062,9.894371032714844e-05,8.58306884765625e-05,0.00011706352233886719,9.179115295410156e-05,8.511543273925781e-05,8.296966552734375e-05,8.320808410644531e-05,0.00998997688293457,0.010275840759277344,0.009589195251464844,0.008378028869628906,0.009582996368408203,0.009650945663452148,0.00896310806274414,0.00891423225402832,0.008228778839111328,0.009039878845214844
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,9.322166442871094e-05,8.606910705566406e-05,8.440017700195312e-05,8.20159912109375e-05,8.296966552734375e-05,8.58306884765625e-05,8.320808410644531e-05,8.273124694824219e-05,8.225440979003906e-05,8.20159912109375e-05,0.010138988494873047,0.010330915451049805,0.009615659713745117,0.008388042449951172,0.009680986404418945,0.009760141372680664,0.00912785530090332,0.008966922760009766,0.00830078125,0.00906991958618164
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.606910705566406e-05,8.58306884765625e-05,8.392333984375e-05,8.20159912109375e-05,8.320808410644531e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,8.225440979003906e-05,8.392333984375e-05,0.010071039199829102,0.010154008865356445,0.009527206420898438,0.008254051208496094,0.00954580307006836,0.00954294204711914,0.009026050567626953,0.008876800537109375,0.008221864700317383,0.009011268615722656
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8888888888888888,8.392333984375e-05,8.487701416015625e-05,9.322166442871094e-05,8.296966552734375e-05,9.608268737792969e-05,8.678436279296875e-05,8.392333984375e-05,8.296966552734375e-05,8.20159912109375e-05,8.296966552734375e-05,0.010071039199829102,0.010151147842407227,0.009560823440551758,0.008390188217163086,0.009497880935668945,0.009590864181518555,0.00905609130859375,0.008921146392822266,0.008241891860961914,0.009006023406982422
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.7692307692307693,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,8.606910705566406e-05,8.58306884765625e-05,8.392333984375e-05,8.320808410644531e-05,8.20159912109375e-05,8.296966552734375e-05,8.511543273925781e-05,8.177757263183594e-05,8.20159912109375e-05,8.225440979003906e-05,0.010220050811767578,0.010264158248901367,0.009633779525756836,0.008394956588745117,0.009593009948730469,0.009765863418579102,0.009113073348999023,0.00903010368347168,0.008373022079467773,0.00910186767578125
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.8666666666666667,1.0,0.9629629629629629,1.0,0.896551724137931,1.0,1.0,1.0,1.0,1.0,8.440017700195312e-05,8.511543273925781e-05,9.083747863769531e-05,8.606910705566406e-05,8.392333984375e-05,8.416175842285156e-05,8.416175842285156e-05,8.296966552734375e-05,8.320808410644531e-05,8.20159912109375e-05,0.0075571537017822266,0.007703065872192383,0.007184267044067383,0.006285905838012695,0.007113933563232422,0.0071868896484375,0.006761789321899414,0.00669407844543457,0.0062029361724853516,0.0067980289459228516
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.8666666666666667,0.9032258064516129,0.896551724137931,0.88,0.896551724137931,0.896551724137931,0.8461538461538461,0.8888888888888888,0.88,0.8461538461538461,8.606910705566406e-05,9.298324584960938e-05,8.487701416015625e-05,8.392333984375e-05,8.20159912109375e-05,8.392333984375e-05,8.392333984375e-05,8.296966552734375e-05,8.296966552734375e-05,8.296966552734375e-05,0.007609844207763672,0.007665157318115234,0.007196903228759766,0.006239175796508789,0.007120847702026367,0.007224082946777344,0.0067479610443115234,0.006706953048706055,0.006197929382324219,0.006757020950317383
