C,kernel_type,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
1,linear,0.8571428571428571,0.8888888888888888,0.96,0.8695652173913043,1.0,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.002177000045776367,0.0008258819580078125,0.0008089542388916016,0.0007300376892089844,0.0008549690246582031,0.0010101795196533203,0.0008063316345214844,0.0007600784301757812,0.0007700920104980469,0.0007197856903076172,0.0007600784301757812,0.00032520294189453125,0.00030803680419921875,0.00029397010803222656,0.0003261566162109375,0.0005466938018798828,0.00029587745666503906,0.00029921531677246094,0.0002949237823486328,0.0002880096435546875
1,poly,0.8571428571428571,0.9655172413793104,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,0.0009961128234863281,0.0008289813995361328,0.0010101795196533203,0.000820159912109375,0.000946044921875,0.0007829666137695312,0.0007801055908203125,0.0007910728454589844,0.0007770061492919922,0.0008089542388916016,0.00033593177795410156,0.0003058910369873047,0.00035190582275390625,0.0002949237823486328,0.0003609657287597656,0.0002968311309814453,0.0002827644348144531,0.00028395652770996094,0.0002830028533935547,0.0002868175506591797
1,rbf,0.7857142857142857,0.9655172413793104,0.9629629629629629,0.88,1.0,1.0,0.9090909090909091,0.96,0.9565217391304348,1.0,0.000827789306640625,0.000782012939453125,0.0007760524749755859,0.0007750988006591797,0.0007660388946533203,0.0007631778717041016,0.0007619857788085938,0.0007770061492919922,0.0008020401000976562,0.0008480548858642578,0.00033020973205566406,0.0003249645233154297,0.00038123130798339844,0.0003046989440917969,0.0003108978271484375,0.00030994415283203125,0.0003070831298828125,0.000308990478515625,0.0003039836883544922,0.0003368854522705078
1,sigmoid,0.8666666666666667,0.8666666666666667,0.8571428571428571,0.88,0.896551724137931,0.8888888888888888,0.8461538461538461,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.0008370876312255859,0.0007808208465576172,0.0007810592651367188,0.0007948875427246094,0.0007998943328857422,0.0007688999176025391,0.0008358955383300781,0.0008018016815185547,0.0007572174072265625,0.0007867813110351562,0.00030493736267089844,0.0002980232238769531,0.0002918243408203125,0.0002899169921875,0.0002911090850830078,0.00029015541076660156,0.0002880096435546875,0.0003108978271484375,0.0002827644348144531,0.0002911090850830078
3,linear,0.8888888888888888,0.88,0.96,0.9,0.96,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0007648468017578125,0.0007627010345458984,0.0007529258728027344,0.0007350444793701172,0.0007848739624023438,0.0007376670837402344,0.0007312297821044922,0.0007557868957519531,0.0007741451263427734,0.0007421970367431641,0.0002880096435546875,0.00028324127197265625,0.0002810955047607422,0.0002868175506591797,0.00028014183044433594,0.00028014183044433594,0.0002789497375488281,0.00028014183044433594,0.0002808570861816406,0.0002770423889160156
3,poly,0.8571428571428571,0.9655172413793104,0.9166666666666666,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.0007898807525634766,0.000804901123046875,0.0007619857788085938,0.000782012939453125,0.0008161067962646484,0.0007739067077636719,0.0007631778717041016,0.0007929801940917969,0.0007638931274414062,0.0007410049438476562,0.00029087066650390625,0.00028514862060546875,0.0002810955047607422,0.0002779960632324219,0.00028395652770996094,0.0002810955047607422,0.00027489662170410156,0.0002779960632324219,0.0002722740173339844,0.0002758502960205078
3,rbf,0.8571428571428571,0.9655172413793104,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.9565217391304348,1.0,0.0007929801940917969,0.0007963180541992188,0.0007927417755126953,0.0007779598236083984,0.0008020401000976562,0.0007772445678710938,0.0007679462432861328,0.0007948875427246094,0.0008101463317871094,0.000743865966796875,0.00031304359436035156,0.00031685829162597656,0.0003101825714111328,0.0003077983856201172,0.000308990478515625,0.00031375885009765625,0.0003039836883544922,0.000308990478515625,0.000308990478515625,0.0003001689910888672
3,sigmoid,0.8571428571428571,0.7692307692307693,0.8461538461538461,0.9090909090909091,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8,0.9565217391304348,0.8461538461538461,0.0007932186126708984,0.0007688999176025391,0.0007712841033935547,0.0007750988006591797,0.0007789134979248047,0.0007710456848144531,0.0007989406585693359,0.0007929801940917969,0.0007488727569580078,0.0007579326629638672,0.0002968311309814453,0.0002918243408203125,0.00028777122497558594,0.0002827644348144531,0.000286102294921875,0.00028705596923828125,0.0002841949462890625,0.00028586387634277344,0.00028705596923828125,0.00028324127197265625
5,linear,0.8571428571428571,0.8333333333333334,0.96,0.9,0.96,1.0,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.9565217391304348,0.0008099079132080078,0.0007948875427246094,0.0008330345153808594,0.0008568763732910156,0.0007669925689697266,0.0007920265197753906,0.0007889270782470703,0.0008099079132080078,0.000823974609375,0.0008218288421630859,0.0002841949462890625,0.00028705596923828125,0.00028014183044433594,0.0002789497375488281,0.00028324127197265625,0.0002770423889160156,0.0002739429473876953,0.0002770423889160156,0.0002741813659667969,0.0002758502960205078
5,poly,0.8571428571428571,1.0,0.9166666666666666,1.0,0.96,1.0,1.0,1.0,0.9523809523809523,1.0,0.0007910728454589844,0.0008158683776855469,0.0007598400115966797,0.0007700920104980469,0.0008220672607421875,0.0007901191711425781,0.0007908344268798828,0.0007870197296142578,0.0007839202880859375,0.0007510185241699219,0.00029397010803222656,0.00028896331787109375,0.00028514862060546875,0.0002818107604980469,0.00028395652770996094,0.00028204917907714844,0.00028014183044433594,0.0002789497375488281,0.00027680397033691406,0.0002808570861816406
