C,kernel_type,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time_5,train_time_6,train_time_7,train_time_8,train_time_9,test_time_0,test_time_1,test_time_2,test_time_3,test_time_4,test_time_5,test_time_6,test_time_7,test_time_8,test_time_9
1,linear,0.9833546734955185,0.9707006369426752,0.9757343550446999,0.9682337992376112,0.9821882951653944,0.9748110831234257,0.9641943734015346,0.978343949044586,0.9730423620025674,0.975609756097561,0.556049108505249,0.7931005954742432,0.5661377906799316,0.485645055770874,0.579430341720581,0.4116060733795166,0.6312227249145508,0.5476217269897461,0.6937041282653809,0.5137348175048828,0.01505589485168457,0.013191938400268555,0.014232158660888672,0.01665019989013672,0.014195919036865234,0.01436305046081543,0.013128280639648438,0.015057802200317383,0.013400077819824219,0.014433145523071289
1,poly,1.0,1.0,0.9948586118251928,1.0,1.0,0.9974489795918368,0.9974358974358974,1.0,1.0,0.9961587708066582,0.12860393524169922,0.1317281723022461,0.12375593185424805,0.1289370059967041,0.1287381649017334,0.12505006790161133,0.12969326972961426,0.1282329559326172,0.13368916511535645,0.13434505462646484,0.007621049880981445,0.007528781890869141,0.007459163665771484,0.007532835006713867,0.0075130462646484375,0.007318019866943359,0.0073888301849365234,0.007537841796875,0.0076007843017578125,0.007961034774780273
1,rbf,0.9833546734955185,0.990990990990991,0.9817708333333334,0.9922879177377892,0.990990990990991,0.9884169884169884,0.9883870967741936,0.9961587708066582,0.989769820971867,0.9883870967741936,0.1801590919494629,0.1782240867614746,0.17799973487854004,0.17957305908203125,0.17811083793640137,0.17600417137145996,0.17639875411987305,0.1788020133972168,0.17770719528198242,0.17568612098693848,0.030309200286865234,0.030386924743652344,0.030428171157836914,0.03040289878845215,0.030320167541503906,0.0303189754486084,0.02984905242919922,0.03047013282775879,0.030612945556640625,0.03004002571105957
1,sigmoid,0.40059790732436473,0.4572192513368984,0.38248175182481753,0.3914285714285714,0.4846153846153846,0.42995839112343964,0.4320652173913043,0.37388724035608306,0.3569230769230769,0.35347432024169184,0.8161609172821045,0.8167819976806641,1.5927839279174805,0.8138930797576904,0.8162581920623779,0.8176772594451904,0.8173081874847412,0.816709041595459,0.8236448764801025,0.8158736228942871,0.07799315452575684,0.0788421630859375,0.07886576652526855,0.07858586311340332,0.079132080078125,0.07838678359985352,0.07866477966308594,0.07811594009399414,0.07833695411682129,0.0783991813659668
3,linear,0.9885350318471338,0.9784537389100126,0.9809402795425667,0.9708491761723701,0.9847715736040609,0.9748743718592965,0.9782886334610472,0.9809402795425667,0.9859872611464968,0.9720101781170484,0.7241330146789551,0.6816558837890625,0.6904001235961914,0.9926400184631348,0.7592799663543701,1.3048410415649414,0.6621990203857422,0.9606890678405762,0.7340233325958252,0.8095710277557373,0.012439966201782227,0.011668920516967773,0.01198267936706543,0.011736154556274414,0.011242866516113281,0.010167121887207031,0.013199806213378906,0.012599945068359375,0.012300968170166016,0.011723995208740234
3,poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11544418334960938,0.11567306518554688,0.11381101608276367,0.11479878425598145,0.12195801734924316,0.11575889587402344,0.1137089729309082,0.11538887023925781,0.1108241081237793,0.12099671363830566,0.004131793975830078,0.004242897033691406,0.004130125045776367,0.004123210906982422,0.004193782806396484,0.004137277603149414,0.004076719284057617,0.004138946533203125,0.0042231082916259766,0.0043032169342041016
3,rbf,0.9961880559085133,1.0,1.0,1.0,0.9987228607918263,0.9974489795918368,1.0,1.0,0.9974554707379135,0.9974424552429667,0.12061381340026855,0.12102794647216797,0.11981320381164551,0.12386298179626465,0.12118983268737793,0.1222989559173584,0.12169599533081055,0.11923789978027344,0.12115311622619629,0.11957812309265137,0.01810622215270996,0.017937898635864258,0.01789999008178711,0.018021106719970703,0.018036365509033203,0.01827406883239746,0.017576932907104492,0.01772594451904297,0.018054723739624023,0.017732858657836914
3,sigmoid,0.39280359820089955,0.45866666666666667,0.7070457354758962,0.39204545454545453,0.4794871794871795,0.42777777777777776,0.4320652173913043,0.3684992570579495,0.36335877862595417,0.35098335854765506,0.8038609027862549,0.8092479705810547,0.4915750026702881,0.8029160499572754,0.8056671619415283,0.8096199035644531,0.8077869415283203,0.8057317733764648,0.8133361339569092,0.8066439628601074,0.07728695869445801,0.07788801193237305,0.04854106903076172,0.07778596878051758,0.07816696166992188,0.07764101028442383,0.07788515090942383,0.07742619514465332,0.0775458812713623,0.07798886299133301
5,linear,0.9770992366412213,0.9848866498740554,0.9847328244274809,0.9719387755102041,0.9936467598475223,0.9748743718592965,0.9873417721518988,0.9872773536895675,0.9924050632911392,0.9733163913595934,1.3158409595489502,1.1331348419189453,1.249758243560791,1.1784498691558838,1.1114368438720703,1.6745450496673584,1.0676188468933105,1.0127599239349365,1.1308238506317139,0.9748930931091309,0.012507200241088867,0.012595176696777344,0.012315988540649414,0.010998010635375977,0.012820959091186523,0.011944055557250977,0.014811038970947266,0.01178288459777832,0.012627124786376953,0.01407003402709961
5,poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11640691757202148,0.11191606521606445,0.12135720252990723,0.1145482063293457,0.11466789245605469,0.12647700309753418,0.10650992393493652,0.11398887634277344,0.10831379890441895,0.11588478088378906,0.003322124481201172,0.0033609867095947266,0.003353118896484375,0.0033228397369384766,0.00321197509765625,0.0032529830932617188,0.003175020217895508,0.0032930374145507812,0.003297090530395508,0.0032291412353515625
5,rbf,0.9987261146496815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974554707379135,1.0,0.10058808326721191,0.10042214393615723,0.09844708442687988,0.10309481620788574,0.10405898094177246,0.10028290748596191,0.09878301620483398,0.10123991966247559,0.10192203521728516,0.1017751693725586,0.013530969619750977,0.013679742813110352,0.013456106185913086,0.014153242111206055,0.014075040817260742,0.013547897338867188,0.01369786262512207,0.013892173767089844,0.013726949691772461,0.013741016387939453
5,sigmoid,0.39039039039039036,0.45866666666666667,0.7061728395061728,0.39148936170212767,0.4788732394366197,0.42777777777777776,0.4320652173913043,0.3684992570579495,0.35834609494640124,0.35098335854765506,0.8012452125549316,0.8029618263244629,0.4822678565979004,0.8014671802520752,0.8071699142456055,0.8059351444244385,0.8053672313690186,0.8057272434234619,0.808668851852417,0.8025059700012207,0.07719779014587402,0.07771492004394531,0.047799110412597656,0.07747483253479004,0.07841992378234863,0.07723402976989746,0.07760095596313477,0.07711219787597656,0.07734513282775879,0.07727622985839844
7,linear,0.9796437659033079,0.9860935524652339,0.9898734177215189,0.9719387755102041,0.9860228716645489,0.9748743718592965,0.988621997471555,0.9759797724399494,0.9911504424778761,0.9836477987421384,1.350846290588379,1.6251709461212158,1.3573698997497559,1.31787109375,1.506472110748291,1.4179351329803467,2.814720869064331,1.4681251049041748,1.4929611682891846,1.878319263458252,0.01601409912109375,0.014358997344970703,0.014674186706542969,0.014681100845336914,0.015923023223876953,0.016427993774414062,0.014065027236938477,0.014880895614624023,0.01570582389831543,0.015550851821899414
7,poly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12041306495666504,0.11258816719055176,0.11039304733276367,0.12135601043701172,0.11624383926391602,0.12152409553527832,0.1174778938293457,0.11019515991210938,0.11974287033081055,0.12016487121582031,0.0028200149536132812,0.0029218196868896484,0.002980947494506836,0.002874135971069336,0.002924203872680664,0.0028078556060791016,0.0029501914978027344,0.0028219223022460938,0.002899169921875,0.00284576416015625
7,rbf,0.9987261146496815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974554707379135,1.0,0.09250307083129883,0.09569311141967773,0.09193778038024902,0.0933842658996582,0.09665513038635254,0.09187602996826172,0.09288215637207031,0.0900871753692627,0.09485292434692383,0.09497690200805664,0.011510133743286133,0.011628866195678711,0.01141214370727539,0.011709928512573242,0.0121917724609375,0.01147913932800293,0.011795997619628906,0.011673927307128906,0.011762142181396484,0.01171112060546875
7,sigmoid,0.39039039039039036,0.45866666666666667,0.7077681874229347,0.39148936170212767,0.4788732394366197,0.4283727399165508,0.4320652173913043,0.3684992570579495,0.3577981651376147,0.34597875569044007,0.8065838813781738,0.8040149211883545,0.477733850479126,0.7995378971099854,0.8073568344116211,0.8045179843902588,0.8011221885681152,0.8021402359008789,0.8089561462402344,0.8060519695281982,0.07741594314575195,0.0782620906829834,0.0477139949798584,0.0774691104888916,0.07795524597167969,0.07726097106933594,0.07742881774902344,0.07709002494812012,0.07729887962341309,0.07718586921691895
