C,kernel_type,accuracy,TP,TN,FP,FN,train_time,test_time
1,linear,0.8838709677419355,115,22,10,8,0.009198188781738281,0.0039424896240234375
1,poly,0.9483870967741935,120,27,5,3,0.009486198425292969,0.0039403438568115234
1,rbf,0.9032258064516129,120,20,12,3,0.009865283966064453,0.004645824432373047
1,sigmoid,0.7870967741935484,120,2,30,3,0.010165929794311523,0.004436969757080078
3,linear,0.8903225806451613,112,26,6,11,0.00960397720336914,0.003998994827270508
3,poly,0.9483870967741935,119,28,4,4,0.010013580322265625,0.004090309143066406
3,rbf,0.9483870967741935,121,26,6,2,0.010195255279541016,0.0044863224029541016
3,sigmoid,0.7548387096774194,108,9,23,15,0.00970458984375,0.004000425338745117
5,linear,0.8774193548387097,111,25,7,12,0.010656595230102539,0.004094600677490234
5,poly,0.9483870967741935,118,29,3,5,0.009915351867675781,0.003976583480834961
5,rbf,0.9483870967741935,121,26,6,2,0.009921789169311523,0.00440669059753418
5,sigmoid,0.7354838709677419,106,8,24,17,0.010053396224975586,0.00405430793762207
7,linear,0.864516129032258,109,25,7,14,0.01067972183227539,0.0039331912994384766
7,poly,0.9483870967741935,118,29,3,5,0.009754180908203125,0.00392460823059082
7,rbf,0.9548387096774194,121,27,5,2,0.009924173355102539,0.004362821578979492
7,sigmoid,0.7225806451612903,104,8,24,19,0.009619951248168945,0.00392913818359375
