C,kernel_type,accuracy,f1,TP,TN,FP,FN,train_time,test_time
1,linear,0.911,0.9098277608915907,449,462,32,57,0.008906126022338867,0.004419088363647461
1,poly,0.928,0.9275653923541247,461,467,27,45,0.0073699951171875,0.004047870635986328
1,rbf,0.906,0.9018789144050104,432,474,20,74,0.006903409957885742,0.005982875823974609
1,sigmoid,0.707,0.6970010341261634,337,370,124,169,0.008104562759399414,0.005906105041503906
3,linear,0.914,0.9124236252545825,448,466,28,58,0.008883953094482422,0.003663301467895508
3,poly,0.916,0.9154929577464789,455,461,33,51,0.007370710372924805,0.004016876220703125
3,rbf,0.924,0.9235412474849095,459,465,29,47,0.00709986686706543,0.005576133728027344
3,sigmoid,0.574,0.6127272727272727,337,237,257,169,0.007894039154052734,0.005107402801513672
5,linear,0.892,0.889344262295082,434,458,36,72,0.009441375732421875,0.003662586212158203
5,poly,0.916,0.9158316633266533,457,459,35,49,0.0069789886474609375,0.004004001617431641
5,rbf,0.925,0.9246231155778895,460,465,29,46,0.007169961929321289,0.005421161651611328
5,sigmoid,0.533,0.5750682438580528,316,217,277,190,0.007879257202148438,0.004770517349243164
7,linear,0.877,0.8746177370030581,429,448,46,77,0.008547782897949219,0.003453969955444336
7,poly,0.92,0.92,460,460,34,46,0.007190227508544922,0.0037987232208251953
7,rbf,0.926,0.9261477045908184,464,462,32,42,0.006922006607055664,0.005287885665893555
7,sigmoid,0.509,0.5507776761207686,301,208,286,205,0.008098602294921875,0.004542112350463867
