k,distance,voting,weighting,accuracy,precision,recall,f1,efficiency,problem-solving time
1,ManhattanDistance,MajorityClassVote,InformationGainWeighting,0.49455962962277,0.2802301861514361,0.5113311929767281,0.3521816926021874,35.687038040161134,35.689391016960144
1,ManhattanDistance,MajorityClassVote,ReliefFWeighting,0.49087412593726637,0.27647409327690414,0.507736724045153,0.34797013126849957,35.88790521621704,35.89046869277954
1,ManhattanDistance,MajorityClassVote,EqualWeighting,0.49087412593726637,0.27647409327690414,0.507736724045153,0.34797013126849957,35.50339391231537,35.505684113502504
1,ManhattanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.49480532986847026,0.28058874889053187,0.5115869474524315,0.35239960127830317,35.648950242996214,35.65127136707306
1,ManhattanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.49087412593726637,0.27647409327690414,0.507736724045153,0.34797013126849957,35.96245756149292,35.96503043174744
1,ManhattanDistance,InverseDistanceWeightedVote,EqualWeighting,0.49087412593726637,0.27647409327690414,0.507736724045153,0.34797013126849957,35.24739170074463,35.2497136592865
1,ManhattanDistance,ShepardsWorkVote,InformationGainWeighting,0.49455962962277,0.2803713903848653,0.5113505408330461,0.35211034039606226,35.54214024543762,35.544448661804196
1,ManhattanDistance,ShepardsWorkVote,ReliefFWeighting,0.4893999244630649,0.27536391350191936,0.506376327897795,0.34583254265102525,35.87060389518738,35.873171257972714
1,ManhattanDistance,ShepardsWorkVote,EqualWeighting,0.49087412593726637,0.27647409327690414,0.507736724045153,0.34797013126849957,35.13470606803894,35.137054681777954
1,EuclideanDistance,MajorityClassVote,InformationGainWeighting,0.48374881881195925,0.26807557678855704,0.5007841928013882,0.339429279489998,40.86821892261505,40.8705358505249
1,EuclideanDistance,MajorityClassVote,ReliefFWeighting,0.48497732004046046,0.2704898498344796,0.5021887262459718,0.339409232712186,41.27443368434906,41.27695586681366
1,EuclideanDistance,MajorityClassVote,EqualWeighting,0.48485446991761033,0.2703655105445427,0.502080196864438,0.3391513281983348,40.63255417346954,40.63481559753418
1,EuclideanDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.48190606696920735,0.26553922343461434,0.4989434256588853,0.3374368223541464,40.93652126789093,40.93886818885803
1,EuclideanDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48497732004046046,0.2704898498344796,0.5021887262459718,0.339409232712186,41.388839673995975,41.391376447677615
1,EuclideanDistance,InverseDistanceWeightedVote,EqualWeighting,0.48485446991761033,0.2703655105445427,0.502080196864438,0.3391513281983348,40.43607590198517,40.43833725452423
1,EuclideanDistance,ShepardsWorkVote,InformationGainWeighting,0.483503118566259,0.26775590100792945,0.5005477861820029,0.33910011084313346,41.066241121292116,41.06853334903717
1,EuclideanDistance,ShepardsWorkVote,ReliefFWeighting,0.48485446991761033,0.2703655105445427,0.502080196864438,0.3391513281983348,41.32472498416901,41.32728712558746
1,EuclideanDistance,ShepardsWorkVote,EqualWeighting,0.48485446991761033,0.2703655105445427,0.502080196864438,0.3391513281983348,40.58177170753479,40.58401629924774
1,ChebyshevDistance,MajorityClassVote,InformationGainWeighting,0.4995938628650478,0.36851194085108113,0.5101263888684118,0.40688452549223814,35.29997134208679,35.3023298740387
1,ChebyshevDistance,MajorityClassVote,ReliefFWeighting,0.49025987532301574,0.27605199310990003,0.5071747292811667,0.34707184092341736,35.86663084030151,35.869154644012454
1,ChebyshevDistance,MajorityClassVote,EqualWeighting,0.49025987532301574,0.27605199310990003,0.5071747292811667,0.34707184092341736,35.38065195083618,35.38294134140015
1,ChebyshevDistance,InverseDistanceWeightedVote,InformationGainWeighting,0.5392275516366677,0.4948615368114117,0.5433785565525975,0.4873331532131089,35.303688287734985,35.30602946281433
1,ChebyshevDistance,InverseDistanceWeightedVote,ReliefFWeighting,0.48989132495446536,0.27567899094930876,0.5068201193520887,0.34661147974014395,35.83989977836609,35.842484045028684
1,ChebyshevDistance,InverseDistanceWeightedVote,EqualWeighting,0.49025987532301574,0.27605199310990003,0.5071747292811667,0.34707184092341736,35.29295821189881,35.295207262039185
1,ChebyshevDistance,ShepardsWorkVote,InformationGainWeighting,0.5254594031806074,0.49797302238100316,0.5268940275599726,0.49345220394247347,35.40584495067596,35.40817174911499
1,ChebyshevDistance,ShepardsWorkVote,ReliefFWeighting,0.48989132495446536,0.27567899094930876,0.5068201193520887,0.34661147974014395,35.89045765399933,35.89302618503571
1,ChebyshevDistance,ShepardsWorkVote,EqualWeighting,0.49025987532301574,0.27605199310990003,0.5071747292811667,0.34707184092341736,35.30676815509796,35.309007096290586
