dataset,model,runtime,ari,purity,dbi,f_measure,n_clusters,fuzzyness,max_iterations,tolerance,random_state,strictness,min_obs,max_depth,metric,algorithm,n_neighbors,affinity,eigen_solver,assign_labels
hepatitis,fuzzy_cmeans,0.0026707649230957,0.0478102245540967,0.3161290322580645,2.0298713202041876,0.08392461197339246,10,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0115468502044677,0.04503994514368502,0.24516129032258063,2.081025950601288,0.08466666666666667,10,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0066759586334228,0.08768847928921139,0.32903225806451614,1.8797221424272048,0.10002667377967459,10,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0067172050476074,0.0342074305235852,0.2129032258064516,2.1893909614277,0.07696551724137932,10,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0091829299926757,0.03897988250507303,0.25161290322580643,1.9294965367676156,0.07982456140350877,10,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0112481117248535,0.05946786064684258,0.25161290322580643,1.9306109329279788,0.08260233918128654,10,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0209040641784667,0.03425622309759514,0.2064516129032258,2.2533275145245155,0.07597202797202798,10,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0347168445587158,0.04031458766880897,0.2645161290322581,1.8577851253597313,0.0890860927152318,10,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0030429363250732,0.0683524610823888,0.3096774193548387,2.117555621369799,0.07142857142857142,11,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0080888271331787,0.03924362075180269,0.1935483870967742,2.0745512365955876,0.06657483930211203,11,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0065717697143554,0.07260324987862332,0.3548387096774194,2.004985352868175,0.09234800163219724,11,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0081450939178466,0.039145311898424795,0.2,2.3012246808138594,0.06131337949519768,11,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0130770206451416,0.04122321702819339,0.1870967741935484,2.1285449317494938,0.06179275270184361,11,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0092780590057373,0.036913471391463906,0.1870967741935484,2.1763104207930835,0.06100223886785152,11,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0138149261474609,0.041729789763882606,0.25806451612903225,1.833770597798125,0.0772421867046727,11,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0172059535980224,0.03541892787210479,0.2064516129032258,2.3930549018769365,0.07088366179275271,11,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.003735065460205,0.04356420783833958,0.2645161290322581,2.1150823565347117,0.07232260493130059,12,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0112671852111816,0.02345076187369688,0.2064516129032258,2.053066686654836,0.06331002331002332,12,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0066938400268554,0.05867617123241367,0.2838709677419355,1.7460020928130262,0.07058720112517582,12,2,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0106711387634277,0.016122633637733388,0.18064516129032257,2.342524694471295,0.05586915617310754,12,3.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0183820724487304,0.03218591532159361,0.2064516129032258,2.2378493400405106,0.061387568726120584,12,3,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0134410858154296,0.03840047417516646,0.2645161290322581,1.9669222069604706,0.07512276433752309,12,4.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0136189460754394,0.03164616385719501,0.1870967741935484,2.1832933765196967,0.05456002331002332,12,4,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0095250606536865,0.033329835574439255,0.18064516129032257,2.3285857792025912,0.05505605505605506,12,5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0034351348876953,0.170341259364903,0.7096774193548387,1.9149016224538489,0.6728577458843394,2,1.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0019290447235107,0.14063721658367048,0.6903225806451613,1.899232610508129,0.655937846836848,2,2.5,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0043592453002929,0.16018937629510724,0.7032258064516129,1.9187266962741254,0.6671956684092606,2,2,,,,,,,,,,,,
