dataset,reduction_method,clustering_model,metric,algorithm,min_samples,xi,min_cluster_size,n_components,kernel,gamma,runtime
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,12,rbf,0.1,3.584650039672852
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,10,poly,0.1,3.437864065170288
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,rbf,0.1,2.797048091888428
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,poly,1.0,2.960565090179444
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,11,poly,1.0,3.565484046936035
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,poly,0.1,3.222224235534668
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,12,poly,0.1,3.7711029052734375
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,12,poly,1.0,3.637266159057617
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,rbf,0.1,2.9663360118865967
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,poly,1.0,3.1438028812408447
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,10,poly,1.0,3.406714916229248
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,rbf,1.0,2.815161943435669
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,4,poly,0.1,3.029524087905884
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,12,rbf,1.0,3.629570007324219
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,11,rbf,1.0,3.539370059967041
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,11,rbf,0.1,3.485527992248535
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,poly,0.1,2.872882843017578
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,4,rbf,0.1,2.9976749420166016
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,10,rbf,1.0,3.4152231216430664
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,4,poly,1.0,3.006363868713379
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,10,rbf,0.1,3.415493965148926
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,4,rbf,1.0,3.000385999679565
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,11,poly,0.1,3.5205910205841064
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,rbf,1.0,2.9408349990844727
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,rbf,1.0,3.813956499099731
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,rbf,1.0,3.722164869308472
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,rbf,0.1,3.7020840644836426
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,poly,1.0,3.782029867172241
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,2,poly,0.1,3.6939990520477295
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,poly,1.0,3.8277413845062256
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,rbf,0.1,3.805155754089356
mushroom,kernel_pca,optics,euclidean,ball_tree,10,0.1,5,3,poly,0.1,3.845799446105957
