dim_0,dim_1,cluster
-0.1418797832167697,-0.252751024515512,6
-0.1494525562561903,-0.2574033662546109,6
-0.1507386382363372,-0.2576904420832198,6
-0.1640785037261159,-0.2666239618385169,3
-0.1547202166858933,-0.2682932107843825,3
-0.1509011101909284,-0.2657999499307497,3
-0.1575434486848504,-0.2713493166470562,3
-0.1566955636803579,-0.2730695062225869,3
-0.1548237140780686,-0.2606430290816316,3
-0.1591909592236116,-0.2578243696310751,3
-0.1663692929517087,-0.2686901768516257,3
-0.1449922816301888,-0.2543157617461433,6
-0.1487894675373005,-0.257201854689739,6
-0.1491349265775969,-0.2556602060009184,6
-0.1602499966586188,-0.2657673780005978,3
-0.1631476805031181,-0.2696621382085753,3
-0.1534210075255396,-0.2662511198304524,3
-0.1512224062345794,-0.2698336078795248,3
-0.1577307082660932,-0.2739442167111781,3
-0.161235446033523,-0.2638999073960206,3
-0.1564731149634631,-0.2567565126162524,3
-0.1690475112232849,-0.2715730702807242,3
-0.1473076627891174,-0.2561397490499105,6
-0.1566076948207599,-0.2621403529812535,3
-0.1507157158569732,-0.2559157018613776,6
-0.1646505424143555,-0.2675814591888836,3
-0.1631909086996655,-0.269035438851986,3
-0.1464434135029279,-0.2617571874732773,6
-0.1358405430250737,-0.2637313332148897,6
-0.1564674287975509,-0.2735100920512365,3
-0.1636947601443631,-0.266063396908913,3
-0.1517074595933736,-0.2539475817412778,6
-0.1678488860500992,-0.2708887807349167,3
-0.1497906391592762,-0.2579083981760482,6
-0.1607708488731448,-0.2644325178678555,3
-0.1507709928604518,-0.2565145401860485,6
-0.1628119697875907,-0.2646679131523815,3
-0.1600182242372756,-0.2665794070679762,3
-0.1322454893747245,-0.2546113876658862,6
-0.1451679057566808,-0.2681859702711903,6
-0.1329309294100875,-0.2618158189535671,6
-0.1678787969957987,-0.2697507517451669,3
-0.1553483770357885,-0.2556037995505713,3
-0.166668958778751,-0.269793468742307,3
-0.1516735389875872,-0.2587107814673748,3
-0.1593406989542993,-0.2636504866671016,3
-0.1491236717727704,-0.2564687414393007,6
-0.1606348381282474,-0.2632761216649276,3
-0.1515806489614365,-0.2617731656492158,3
-0.126495764843236,-0.2506702796834153,6
-0.1535587724513712,-0.2714554732852244,3
-0.153464646201635,-0.2712857249697528,3
-0.1663113952851302,-0.2701240794651295,3
-0.1598136334355149,-0.257113615877595,3
-0.1697803193248365,-0.2734265131383691,3
-0.1515657322068081,-0.2579916854086305,3
-0.1538373576066639,-0.2597362511581657,3
-0.1489669685183374,-0.2567549594213451,6
-0.1583961930721184,-0.2640588882312227,3
-0.1479148414781831,-0.258406992344014,6
-0.1377485960557585,-0.2553171828784338,6
-0.1545868947109948,-0.2695792762547002,3
-0.1517729080771822,-0.2708763908962719,3
-0.1590821927673871,-0.2652614352074348,3
-0.1581149499850037,-0.2551104865055245,3
-0.1702502247635827,-0.273729700027138,3
-0.1002424859928111,-0.2299064727258787,9
-0.1621400412747326,-0.2707493259713577,3
-0.136722728267424,-0.2576242404510077,6
-0.1322938205921258,-0.2537554455769683,6
-0.1394620601118035,-0.264894588181096,6
-0.1245810914730786,-0.256203480304725,6
-0.1226186843516317,-0.2490423546769702,6
-0.0988628678461767,-0.242835796215363,9
-0.1128293964245791,-0.2465583379738126,9
-0.110600972323286,-0.241401994935683,9
-0.1243073652685797,-0.2533414590140135,6
-0.0952528120064332,-0.2289262324392556,9
-0.1599331380007923,-0.268401481502436,3
-0.1405758465041658,-0.2596426696149084,6
-0.134488368437579,-0.256153244804877,6
-0.1412299554740896,-0.2635997863408125,6
-0.1212454461518993,-0.2547475918329148,6
-0.1384219705639139,-0.258761390475146,6
-0.1007015125649875,-0.2418714635244515,9
-0.1070314458002819,-0.2439171244484628,9
-0.1210474657447696,-0.244613098010479,9
-0.1166488257544116,-0.2511320827950457,9
-0.0890246659945275,-0.2243094653673548,9
-0.1584465338632314,-0.2664132767615354,3
-0.1396760540568762,-0.2588598946126401,6
-0.1364448793570256,-0.256683946204586,6
-0.1399228306011651,-0.2621976532063695,6
-0.1215665833355704,-0.2572626173318083,6
-0.1431538364219366,-0.2615673702604499,6
-0.1021017152619736,-0.2411462971803407,9
-0.10317833087263,-0.2440108736507422,9
-0.1204480765628657,-0.2441174185650429,9
-0.1175514297170478,-0.2472696900160704,9
-0.0789278462790628,-0.2199613163733055,9
-0.1573335679743324,-0.2662267167846162,3
-0.1408009026266364,-0.259652769382824,6
-0.1351626755003994,-0.254249024182487,6
-0.1399757469717305,-0.2596413082598937,6
-0.1292497255549557,-0.2605358404607305,6
-0.1382320923129386,-0.2606229462546244,6
-0.0981971724371325,-0.2425402017079125,9
-0.1095215495057237,-0.2470939542491362,9
-0.1128600089222566,-0.241505971246123,9
-0.1361645606670605,-0.2534909470638906,6
-0.0753689423051958,-0.2201414987540401,9
-0.1557890552645538,-0.2642282828694583,3
-0.1405202117764917,-0.2598369248371632,6
-0.131587466877106,-0.251485509347725,6
-0.1397321873866848,-0.2535316131706454,6
-0.1336689252987367,-0.261439858678159,6
-0.1351262992872923,-0.2594006827107701,6
-0.0936244650291375,-0.2405275691767737,9
-0.1160539023207908,-0.2480559828537262,9
-0.1007436815879364,-0.2351412140777546,9
