dataset,reduction_method,clustering_model,n_clusters,max_iterations,tolerance,random_state,n_components,kernel,gamma,runtime
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,rbf,0.1,6.011399984359741
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,poly,0.1,5.331847906112671
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,rbf,0.1,10.44198489189148
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,poly,1.0,17.5419499874115
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,poly,1.0,4.656415939331055
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,poly,0.1,19.94795274734497
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,poly,0.1,6.24876594543457
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,poly,1.0,4.0784173011779785
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,rbf,0.1,13.85504913330078
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,poly,1.0,12.349591732025146
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,poly,1.0,4.925215005874634
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,rbf,1.0,12.95639705657959
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,poly,0.1,12.651031970977783
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,rbf,1.0,4.2024219036102295
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,rbf,1.0,4.011404991149902
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,rbf,0.1,6.668928146362305
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,poly,0.1,15.689711809158323
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,rbf,0.1,14.10780382156372
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,rbf,1.0,4.799052000045776
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,poly,1.0,8.801520824432373
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,rbf,0.1,6.882885932922363
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,rbf,1.0,15.428417921066284
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,poly,0.1,9.348067045211792
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,rbf,1.0,13.173734188079834
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,poly,1.0,5.808260917663574
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,rbf,1.0,16.337568044662476
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,rbf,0.1,8.577483654022217
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,rbf,1.0,5.180913925170898
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,poly,0.1,11.360214471817017
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,rbf,0.1,8.360979795455933
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,poly,1.0,10.760721445083618
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,poly,0.1,6.649154424667358
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,poly,1.0,5.136139631271362
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,rbf,1.0,16.097679138183594
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,rbf,1.0,18.79059481620789
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,rbf,0.1,12.61985445022583
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,rbf,0.1,7.459028005599976
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,rbf,0.1,17.520647048950195
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,rbf,1.0,5.8791351318359375
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,poly,1.0,21.518039226531982
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,2,poly,0.1,24.197693586349487
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,12,poly,0.1,7.743582010269165
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,poly,1.0,15.117228746414185
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,11,rbf,1.0,4.994555234909058
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,10,poly,1.0,6.329456806182861
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,4,poly,0.1,14.94046664237976
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,rbf,0.1,17.375184535980225
vowel,kernel_pca,global_kmeans,11,100,0.0001,4,3,poly,0.1,18.715339183807373
