dim_0,dim_1,cluster
-0.141879783216769,-0.2527510245155121,-1
-0.1494525562561896,-0.257403366254611,-1
-0.1507386382363365,-0.2576904420832203,-1
-0.1640785037261153,-0.266623961838517,-1
-0.1547202166858927,-0.2682932107843825,-1
-0.1509011101909279,-0.2657999499307498,-1
-0.1575434486848497,-0.2713493166470562,-1
-0.1566955636803571,-0.2730695062225868,-1
-0.1548237140780679,-0.2606430290816318,-1
-0.1591909592236109,-0.2578243696310753,-1
-0.166369292951708,-0.2686901768516256,-1
-0.1449922816301881,-0.2543157617461435,-1
-0.1487894675372997,-0.2572018546897394,-1
-0.1491349265775961,-0.2556602060009184,-1
-0.1602499966586184,-0.2657673780005979,-1
-0.1631476805031177,-0.2696621382085753,-1
-0.1534210075255391,-0.2662511198304524,-1
-0.1512224062345789,-0.269833607879525,-1
-0.1577307082660924,-0.2739442167111781,-1
-0.1612354460335223,-0.2638999073960205,-1
-0.1564731149634624,-0.2567565126162525,-1
-0.1690475112232843,-0.2715730702807244,-1
-0.1473076627891169,-0.2561397490499105,-1
-0.1566076948207592,-0.2621403529812538,-1
-0.1507157158569726,-0.2559157018613777,-1
-0.164650542414355,-0.2675814591888837,-1
-0.1631909086996651,-0.269035438851986,-1
-0.1464434135029275,-0.2617571874732773,-1
-0.1358405430250731,-0.2637313332148898,-1
-0.1564674287975505,-0.2735100920512369,-1
-0.1636947601443624,-0.2660633969089132,-1
-0.1517074595933731,-0.2539475817412778,-1
-0.1678488860500987,-0.2708887807349169,-1
-0.1497906391592754,-0.2579083981760483,-1
-0.1607708488731442,-0.2644325178678558,-1
-0.1507709928604512,-0.2565145401860483,-1
-0.16281196978759,-0.2646679131523813,-1
-0.1600182242372749,-0.2665794070679761,-1
-0.1322454893747242,-0.2546113876658861,-1
-0.1451679057566803,-0.2681859702711904,-1
-0.1329309294100871,-0.2618158189535672,-1
-0.167878796995798,-0.2697507517451669,-1
-0.1553483770357879,-0.2556037995505712,-1
-0.1666689587787504,-0.2697934687423072,-1
-0.1516735389875866,-0.2587107814673749,-1
-0.1593406989542986,-0.2636504866671019,-1
-0.1491236717727697,-0.2564687414393007,-1
-0.1606348381282469,-0.2632761216649277,-1
-0.1515806489614358,-0.2617731656492159,-1
-0.1264957648432354,-0.2506702796834154,-1
-0.1535587724513707,-0.2714554732852244,-1
-0.1534646462016343,-0.271285724969753,-1
-0.1663113952851296,-0.2701240794651297,-1
-0.1598136334355142,-0.2571136158775949,-1
-0.169780319324836,-0.2734265131383693,-1
-0.1515657322068074,-0.2579916854086304,-1
-0.1538373576066631,-0.2597362511581659,-1
-0.1489669685183366,-0.2567549594213449,-1
-0.1583961930721178,-0.2640588882312226,-1
-0.1479148414781824,-0.2584069923440139,-1
-0.137748596055758,-0.2553171828784339,-1
-0.1545868947109943,-0.2695792762547003,-1
-0.1517729080771818,-0.270876390896272,-1
-0.1590821927673863,-0.2652614352074348,-1
-0.158114949985003,-0.2551104865055244,-1
-0.1702502247635823,-0.2737297000271382,-1
-0.1002424859928104,-0.229906472725879,-1
-0.162140041274732,-0.2707493259713581,-1
-0.1367227282674235,-0.2576242404510078,-1
-0.1322938205921253,-0.2537554455769684,-1
-0.1394620601118029,-0.2648945881810964,0
-0.124581091473078,-0.2562034803047251,-1
-0.1226186843516311,-0.2490423546769705,-1
-0.0988628678461761,-0.2428357962153634,-1
-0.1128293964245784,-0.2465583379738129,-1
-0.1106009723232852,-0.2414019949356837,-1
-0.124307365268579,-0.2533414590140139,-1
-0.0952528120064326,-0.228926232439256,-1
-0.1599331380007917,-0.2684014815024365,-1
-0.1405758465041652,-0.2596426696149086,-1
-0.1344883684375785,-0.2561532448048771,-1
-0.1412299554740891,-0.2635997863408128,0
-0.1212454461518988,-0.2547475918329148,-1
-0.1384219705639135,-0.2587613904751463,0
-0.1007015125649868,-0.241871463524452,-1
-0.1070314458002811,-0.243917124448463,-1
-0.1210474657447688,-0.2446130980104795,-1
-0.1166488257544109,-0.2511320827950459,-1
-0.0890246659945267,-0.2243094653673552,-1
-0.1584465338632308,-0.2664132767615359,-1
-0.1396760540568757,-0.2588598946126403,0
-0.136444879357025,-0.2566839462045862,-1
-0.1399228306011643,-0.2621976532063698,0
-0.1215665833355698,-0.2572626173318086,-1
-0.143153836421936,-0.2615673702604503,-1
-0.1021017152619729,-0.2411462971803413,-1
-0.1031783308726295,-0.2440108736507426,-1
-0.1204480765628651,-0.2441174185650438,-1
-0.1175514297170472,-0.2472696900160709,-1
-0.0789278462790622,-0.219961316373306,-1
-0.1573335679743317,-0.2662267167846165,-1
-0.1408009026266358,-0.259652769382824,0
-0.135162675500399,-0.2542490241824873,-1
-0.1399757469717301,-0.259641308259894,0
-0.1292497255549552,-0.2605358404607309,-1
-0.1382320923129381,-0.2606229462546248,0
-0.0981971724371317,-0.2425402017079129,-1
-0.1095215495057231,-0.2470939542491366,-1
-0.112860008922256,-0.2415059712461235,-1
-0.1361645606670598,-0.2534909470638911,-1
-0.0753689423051952,-0.2201414987540404,-1
-0.1557890552645532,-0.2642282828694587,-1
-0.1405202117764912,-0.2598369248371636,0
-0.1315874668771055,-0.2514855093477255,-1
-0.1397321873866844,-0.2535316131706458,-1
-0.1336689252987361,-0.2614398586781593,-1
-0.1351262992872918,-0.2594006827107704,-1
-0.0936244650291368,-0.2405275691767743,-1
-0.1160539023207901,-0.2480559828537269,-1
-0.1007436815879356,-0.235141214077755,-1
-0.1346117469413413,-0.2551783735932035,-1
-0.0761686816233712,-0.2188683704461945,-1
-0.1525930451138487,-0.2608284816323148,-1
-0.1442148207478381,-0.2636780345415219,0
-0.1305762815139521,-0.250660948623105,-1
-0.1315784496695352,-0.2494199984818758,-1
-0.1372539270827258,-0.2621758814638568,0
-0.1348752997928753,-0.2574226114893768,-1
-0.0945523316179378,-0.2385126254717242,-1
-0.1194845144474297,-0.243043869714975,-1
-0.0934025024437554,-0.2291282943629232,-1
-0.1315603746252201,-0.2546984237711672,-1
-0.1623415202028713,-0.2504605183467982,-1
-0.1715247954870536,-0.2650872576908741,-1
-0.1613070698510376,-0.2649896767359901,-1
-0.1560350701946422,-0.2695113424198599,-1
-0.15110165250498,-0.2747941272435831,-1
-0.1495297409005009,-0.2723060847579332,-1
-0.1470524166238671,-0.2731137816162171,-1
-0.1360306873531926,-0.2618065356939746,0
-0.1437208308530073,-0.2707960159539639,-1
-0.1496536903334203,-0.2633020890646908,-1
-0.167791518729397,-0.274716398224374,-1
-0.1555000660628052,-0.2455802216423171,-1
-0.1712094633521758,-0.2646426200187973,-1
-0.1651247829164939,-0.2672249668510827,-1
-0.1594101722121838,-0.2717099700569548,-1
-0.1510017429386494,-0.2749616881139572,-1
-0.1503448463799341,-0.2725382435727604,-1
-0.1433560963658721,-0.2712979258400761,-1
-0.13756792047866,-0.262690316566177,0
-0.1351712225653028,-0.2642769976401514,-1
-0.1445992159660649,-0.2618827061357419,0
-0.1709179927039911,-0.278021390594958,-1
-0.1569798774966986,-0.2459624750659901,-1
-0.1722805338674161,-0.2661860914197194,-1
-0.1662161191702501,-0.2680090210192194,-1
-0.1609615385910198,-0.2731505952368942,-1
-0.1511189738616068,-0.2749859631653478,-1
-0.1503359056900858,-0.2731549285901939,-1
-0.1385855288176513,-0.2673206655695545,-1
-0.1389569244075495,-0.2635548371494637,0
-0.1466836720446432,-0.2684739498176012,-1
-0.1294291731731588,-0.253155551572665,-1
-0.1744188381049791,-0.279000167312243,-1
-0.1575456302008784,-0.2477587596358484,-1
-0.1728654403382227,-0.2671680578956927,-1
-0.1670012232567649,-0.2691050278229127,-1
-0.1600722735848329,-0.2732208626656598,-1
-0.1486198548872402,-0.273177124763829,-1
-0.1521576862115085,-0.2736435943115756,-1
-0.143178486389314,-0.2700893216807666,-1
-0.1402009478220115,-0.2661978753160863,0
-0.1661360977897051,-0.2754732022214285,-1
-0.1250902683268719,-0.2498706279570678,-1
-0.1806481267154203,-0.281809588628183,-1
-0.1609965656392578,-0.250127166321838,-1
-0.1751168528095378,-0.2677186788658697,-1
-0.1701786335766422,-0.270215406269229,-1
-0.1587145972451656,-0.2724868711394355,-1
-0.1519850995161433,-0.2748377529174988,-1
-0.156541460697265,-0.2748360345223819,-1
-0.1446192457873845,-0.2717510883596817,-1
-0.1430077513227965,-0.2686911347735362,-1
-0.1690442874056246,-0.2760232622400004,-1
-0.122563343794963,-0.24934429468739,-1
-0.1812095221481688,-0.2817879287220538,-1
-0.1658756247880424,-0.252615365181399,-1
-0.1759565870094155,-0.2680881135870284,-1
-0.1681715638463104,-0.2679595176905645,-1
-0.1591284445513538,-0.2721185818096982,-1
-0.1513306331089574,-0.2741769063193225,-1
-0.1546624571880157,-0.2733486175354847,-1
-0.1441639251623276,-0.2717808879095704,-1
-0.1394870304276178,-0.2667217257098938,-1
-0.1739685733023066,-0.2792038055838917,-1
-0.1224983846017713,-0.2503204071142237,-1
-0.1772074183971149,-0.2811384523435498,-1
-0.1759384672008012,-0.2736538053500242,-1
-0.1675264071077677,-0.2734137158039159,-1
-0.1307278804344375,-0.2537766906202446,-1
-0.1261127954220834,-0.2534697565093947,-1
-0.1407654013396717,-0.2682027112380851,-1
-0.1395239532691502,-0.2688996503351867,-1
-0.1422682566104278,-0.2704489343467203,-1
-0.1269070427002626,-0.2580621122748685,-1
-0.1472426917866161,-0.2730975485569563,-1
-0.1449013441720203,-0.2673920142259085,-1
-0.1492347567577202,-0.2756303017168094,-1
-0.1765366985145893,-0.2733589210771023,-1
-0.1701359726013336,-0.2752773124003197,-1
-0.1418548834204842,-0.2600756548162621,0
-0.1322335525665173,-0.256471797638253,-1
-0.1419787448604117,-0.2716171589992071,-1
-0.1462348068792278,-0.272574771242444,-1
-0.1365026551757528,-0.2674552836155455,-1
-0.1224213251906995,-0.2558756216271506,-1
-0.1406379518719036,-0.2710859730950573,-1
-0.1449635047310103,-0.2666450950670387,-1
-0.1500290935736795,-0.276280228544639,-1
-0.1745311453286928,-0.2717802503935053,-1
-0.1697847928935084,-0.2747374773096552,-1
-0.1442616465616366,-0.261712560204478,0
-0.1278429289763448,-0.2546521641385669,-1
-0.1362031611864102,-0.2721364015803298,-1
-0.1509047597181366,-0.2770887081399226,-1
-0.1262541807301818,-0.259378184865876,-1
-0.1221689192259203,-0.2566935191350902,-1
-0.1356810940764217,-0.2692266203733249,-1
-0.1423514163280647,-0.2641340258904084,0
-0.1487622524407976,-0.2758744314500066,-1
-0.1724982151713138,-0.270728655399884,-1
-0.1702363838808318,-0.2750000171581672,-1
-0.1423784823449818,-0.261405054452245,0
-0.1252604146241658,-0.2526546190552696,-1
-0.1321102650593703,-0.2713376994478314,-1
-0.1528074504064141,-0.2781639619433916,-1
-0.1197510301497621,-0.2535653719870344,-1
-0.1224033620191319,-0.2546238821588202,-1
-0.1394368937164742,-0.2713525614082089,-1
-0.1398974172427345,-0.2617872888403985,0
-0.1483607843971515,-0.2751538657679966,-1
-0.1709134355717682,-0.2701100433574185,-1
-0.1703876965204173,-0.2753298514321596,-1
-0.14165535954452,-0.2612252857041948,0
