dataset,reduction_method,clustering_model,metric,algorithm,min_samples,xi,min_cluster_size,n_components,kernel,gamma,runtime
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,12,rbf,0.1,0.2314841747283935
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,10,poly,0.1,0.2346062660217285
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,2,rbf,0.1,0.2280187606811523
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,2,poly,1.0,0.2250652313232422
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,11,poly,1.0,0.2357819080352783
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,2,poly,0.1,0.2251632213592529
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,12,poly,0.1,0.2355039119720459
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,12,poly,1.0,0.2344281673431396
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,3,rbf,0.1,0.2295370101928711
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,3,poly,1.0,0.2285230159759521
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,10,poly,1.0,0.2355360984802246
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,2,rbf,1.0,0.2282981872558593
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,4,poly,0.1,0.3073751926422119
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,12,rbf,1.0,0.2331891059875488
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,11,rbf,1.0,0.2329611778259277
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,11,rbf,0.1,0.2311213016510009
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,3,poly,0.1,0.2302119731903076
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,4,rbf,0.1,0.231846809387207
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,10,rbf,1.0,0.2326300144195556
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,4,poly,1.0,0.2296509742736816
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,10,rbf,0.1,0.2314169406890869
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,4,rbf,1.0,0.2303798198699951
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,11,poly,0.1,0.2341556549072265
vowel,kernel_pca,optics,manhattan,ball_tree,20,0.1,10,3,rbf,1,0.22684311866760254
