dim_0,dim_1,cluster
-0.3712393853299375,-0.655117803845615,0
-0.3891390044426814,-0.6613012340539061,0
-0.3956497936019286,-0.6646126988905555,0
-0.4280394705342963,-0.682694149668639,4
-0.4028695951856895,-0.6879537288710623,4
-0.390154224106085,-0.6782343127002328,0
-0.412189412100241,-0.6994363898451703,4
-0.4156918166906136,-0.7143227464823018,4
-0.4008864336547227,-0.6655536449376833,0
-0.4169104030842233,-0.6644264168131427,4
-0.4317992635619195,-0.6855502116903938,4
-0.3800956677057838,-0.659468769693742,0
-0.3883119622943445,-0.6621316390319307,0
-0.3926736492106607,-0.6613066834109268,0
-0.4165941281507233,-0.6795237547377864,4
-0.426154134005714,-0.6916291953438308,4
-0.3983343944640674,-0.681330470483205,0
-0.3944722852123897,-0.6954553174739317,0
-0.4199397818517364,-0.7187450301943901,4
-0.4181218638838852,-0.6739169063137534,4
-0.4087696731788726,-0.6606032027509765,0
-0.4400683404206005,-0.6945540628926855,4
-0.3862762485321632,-0.6640437844372155,0
-0.4083497584049894,-0.6729390762457884,4
-0.396238679822302,-0.6610813331430572,0
-0.4294169500493504,-0.6852999758740098,4
-0.4237153207472789,-0.6863964548250666,4
-0.3796492737033098,-0.6703258406852536,0
-0.3529451899019998,-0.6812479682240479,0
-0.4156336737206044,-0.7164528568725435,4
-0.425767496201853,-0.6803103988384225,4
-0.3949307437860671,-0.6517737999616146,0
-0.4370235740133187,-0.6927313129391912,4
-0.3923537360116336,-0.6674806044816222,0
-0.4204046317537552,-0.6793996595058311,4
-0.3956193068102046,-0.6616798042456081,0
-0.4245978095571249,-0.6777827281565412,4
-0.4128937592001667,-0.6769348588915601,4
-0.3403518277125527,-0.6508956993458805,0
-0.3776689025755359,-0.6911825976744284,0
-0.3494429284203625,-0.685562790281083,0
-0.4379255821721235,-0.6911751451202004,4
-0.4054980756137876,-0.657310571721134,0
-0.4342661656787018,-0.690027018418398,4
-0.3973250123919969,-0.6693977330335814,0
-0.4162533838989948,-0.6768353564870815,4
-0.3903534238889126,-0.6605857077141605,0
-0.4188294303815345,-0.6743532657156435,4
-0.3880877254779061,-0.6618495137093133,0
-0.3240537222859603,-0.63938116198978,0
-0.4002044306518377,-0.6984891691426623,4
-0.4066371919959292,-0.70994506214972,4
-0.433333289688442,-0.6914955837423226,4
-0.4202778207515178,-0.6652088683916989,4
-0.442616000841563,-0.6994178253186274,4
-0.3983399157001229,-0.6697161068805334,0
-0.4009491963768085,-0.666262109413324,0
-0.389800875146524,-0.6611981182977351,0
-0.4111133184363678,-0.6744359326627414,4
-0.3778565860233672,-0.652837337463659,0
-0.3534684338359245,-0.6494070551563637,0
-0.4015914825064832,-0.6910912443823553,4
-0.4019088535359776,-0.7089376126142511,4
-0.4153192586121213,-0.6810311554348869,4
-0.4173910824037287,-0.6627072300651675,4
-0.4438783257629585,-0.7005288378798041,4
-0.2660647958095702,-0.6086136226472812,7
-0.4419585491546557,-0.720183604445844,4
-0.3581094019105894,-0.6656399346818759,0
-0.3455529461231232,-0.6556092333437266,0
-0.3618499029724249,-0.6795554247578574,0
-0.326282377004795,-0.6662814514591845,0
-0.3211187855113068,-0.6482822039090551,0
-0.2569764274417531,-0.633539132702862,7
-0.2918147824871776,-0.6367946193213058,7
-0.2854570455999228,-0.6210060332043843,7
-0.3182099646649862,-0.6439641873999438,7
-0.2536768248780844,-0.6093594189925667,7
-0.43137231533187,-0.7076126042128464,4
-0.3695428739458733,-0.6724585751671348,0
-0.3499437852126592,-0.6589927434980911,0
-0.3660467853137618,-0.6747725837236269,0
-0.3171042584687196,-0.6630818717322696,0
-0.3639488156947016,-0.6730846255370301,0
-0.2633645801557897,-0.6323100994890902,7
-0.2750612835986707,-0.6281351184708837,7
-0.3152350575096905,-0.632141461492071,7
-0.2993059732769503,-0.6405382743507864,7
-0.2369485457899568,-0.5984194841120736,7
-0.4250872161599953,-0.6994421338830237,4
-0.3654483240287212,-0.6674936882144148,0
-0.3555814199799139,-0.6607260515385756,0
-0.3621853907828971,-0.6705763105294988,0
-0.316894454773425,-0.6666098021614086,0
-0.3753576450247383,-0.6770483885452864,0
-0.2687367029137328,-0.6319771387724749,7
-0.2647588310365855,-0.6288955602885051,7
-0.3139795368335435,-0.6315262707044442,7
-0.3025013882215008,-0.6312448513493822,7
-0.2101537110380498,-0.5899623578538503,7
-0.4209556522149955,-0.6972880451922432,4
-0.3686322711282216,-0.6695680658130262,0
-0.352644704122234,-0.6553126918668293,0
-0.3631836470341804,-0.6650666944909938,0
-0.3373350274857586,-0.6738769236773229,0
-0.3615671801185653,-0.6743398633051337,0
-0.2580959926207851,-0.6372465640396566,7
-0.2823994452056296,-0.63739845369391,7
-0.2924209163872239,-0.6238937487843004,7
-0.3527325043829615,-0.6481257234070991,0
-0.2003676654575474,-0.590767878718368,7
-0.4152685237499877,-0.6903968661796058,4
-0.3693682854128391,-0.6726079612749941,0
-0.3425982692069905,-0.6473742818769274,0
-0.3649576120433128,-0.6526707073232373,0
-0.3489197365067451,-0.6759027462879803,0
-0.3542910306442878,-0.6737204630263751,0
-0.2448088187800823,-0.6327122705864556,7
-0.301028740651294,-0.6407260603082205,7
-0.2588786245978994,-0.6064170024742764,7
-0.3473509985039401,-0.6510899873444593,0
-0.2038326891687923,-0.5899492489431847,7
-0.4050809441549546,-0.6800644913812647,4
-0.3814724377256782,-0.6855921084877163,0
-0.3399156929143572,-0.6450014735952996,0
-0.3443691656729564,-0.6451273147041242,0
-0.3574227724681907,-0.6759496118024468,0
-0.3547905134823914,-0.6704267597924056,0
-0.2478852201236876,-0.6287824580016627,7
-0.3100566363736019,-0.6257750633968652,7
-0.241023542877904,-0.5936153514093548,7
-0.3383110689363193,-0.6496679337593545,0
-0.4629159938132274,-0.6957894193781975,4
-0.4748655123894064,-0.7137332105225345,4
-0.4290697739357142,-0.6904768834309459,4
-0.4070739504407225,-0.691347604299397,4
-0.3946960725020697,-0.7082051655930925,4
-0.3897867227685418,-0.7002553648841098,0
-0.3899686042254574,-0.7143799808945089,0
-0.3649086101495911,-0.696284751530629,0
-0.3772790864505675,-0.702898009117226,0
-0.4012251548040496,-0.6961397445649692,4
-0.4402142426591899,-0.70798396143151,4
-0.4433700736573523,-0.6827960020086359,4
-0.4752691193237945,-0.7139191069931864,4
-0.4414581846636451,-0.6985948836027681,4
-0.4169920784812854,-0.6978784902807635,4
-0.3968468689313971,-0.7121846096577878,4
-0.3917326966991048,-0.7002881667446463,0
-0.3791872298573154,-0.7088945713178539,0
-0.3674772007162737,-0.6956006528544768,0
-0.3528649309885158,-0.6841626986115035,0
-0.3852012377654834,-0.6898292743049694,0
-0.4491368364614676,-0.7169200876187266,4
-0.4471825511467439,-0.6837210572907726,4
-0.4788450438208624,-0.7186773550479716,4
-0.4451415762681776,-0.7014693912790009,4
-0.4221217518365254,-0.7027699708680377,4
-0.3977959453360885,-0.7132261156917452,4
-0.3920681990439282,-0.7022921744142614,0
-0.367913009580947,-0.7011577107692404,0
-0.3708894020009408,-0.6967480060906799,0
-0.3848197205158172,-0.6957207350281978,0
-0.3439500142153327,-0.6686363157961428,0
-0.459933346678371,-0.721432211733257,4
-0.4474066836793447,-0.6868685780528487,4
-0.479893267914985,-0.7206129495789347,4
-0.4479974006310946,-0.7051628230748914,4
-0.4196476026521212,-0.7027772518055297,4
-0.3925962270502002,-0.7109942988163841,4
-0.3979707768298977,-0.7046096640193054,4
-0.3812432074494322,-0.7092214521357614,0
-0.3739275641285435,-0.7029941940452333,0
-0.4408173723548384,-0.7180241782354356,4
-0.332815628542333,-0.6614415677958987,0
-0.4787919070791357,-0.7310372226518497,4
-0.4586833289930594,-0.6949568661949878,4
-0.4854986598891315,-0.7213799806327681,4
-0.4579652915578325,-0.7095949902886338,4
-0.4160842160018683,-0.7010226377850497,4
-0.4012775868980714,-0.7142357880235422,4
-0.4103533227809259,-0.7080882469434644,4
-0.384712104331472,-0.7129674400268098,0
-0.38156527286441,-0.7085121849608397,0
-0.4485643736339045,-0.7193154940891753,4
-0.3259411208766804,-0.6602930915468974,0
-0.4806784726519244,-0.7313422350730204,4
