dataset,reduction_method,clustering_model,n_clusters,max_iterations,tolerance,random_state,n_components,runtime
vowel,pca,global_kmeans,11,100,0.0001,4,4,17.085610151290894
vowel,pca,global_kmeans,11,100,0.0001,4,2,11.964711904525757
vowel,pca,global_kmeans,11,100,0.0001,4,3,13.283982038497925
vowel,pca,global_kmeans,11,100,0.0001,4,11,7.355859756469727
vowel,pca,global_kmeans,11,100,0.0001,4,10,8.191428899765015
vowel,pca,global_kmeans,11,100,0.0001,4,12,7.340818166732788
vowel,pca,global_kmeans,11,100,0.0001,4,11,8.79718565940857
vowel,pca,global_kmeans,11,100,0.0001,4,4,20.27797245979309
vowel,pca,global_kmeans,11,100,0.0001,4,12,9.118258476257324
vowel,pca,global_kmeans,11,100,0.0001,4,10,9.86954426765442
vowel,pca,global_kmeans,11,100,0.0001,4,2,14.31106662750244
vowel,pca,global_kmeans,11,100,0.0001,4,3,16.42196536064148
vowel,pca,global_kmeans,11,100,0.0001,4,11,8.6342453956604
vowel,pca,global_kmeans,11,100,0.0001,4,4,20.16142463684082
vowel,pca,global_kmeans,11,100,0.0001,4,12,8.701837301254272
vowel,pca,global_kmeans,11,100,0.0001,4,10,9.7368004322052
vowel,pca,global_kmeans,11,100,0.0001,4,2,14.268072366714478
vowel,pca,global_kmeans,11,100,0.0001,4,3,16.84285569190979
