dataset,reduction_method,clustering_model,metric,algorithm,min_samples,xi,min_cluster_size,n_components,runtime
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,4,0.230992317199707
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,2,0.2263181209564209
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,3,0.229001760482788
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,11,0.23443603515625
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,10,0.2321758270263672
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,12,0.23557710647583
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,11,0.3465266227722168
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,4,0.3361783027648926
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,12,0.3492569923400879
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,10,0.3403277397155761
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,2,0.3551092147827148
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,3,0.3607091903686523
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,11,0.3464469909667969
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,4,0.3313171863555908
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,12,0.3447322845458984
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,10,0.3359241485595703
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,2,0.3339979648590088
vowel,pca,optics,manhattan,ball_tree,20,0.1,10,3,0.35356640815734863
