dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
mushroom,incremental_pca,global_kmeans,0.1440129280090332,10.015308141708374,1.2309529576349558,1051.3878262850997,0.022576212227377702,0.5017503463038482,2,10,100,0.001,4,,,,,,,
mushroom,incremental_pca,global_kmeans,0.1278932094573974,11.795517921447754,1.1068138228845619,2116.7134948026187,0.12544169595635088,0.629954517094268,2,11,100,0.001,4,,,,,,,
mushroom,incremental_pca,global_kmeans,0.1259927749633789,12.618426322937012,1.153643534238593,2026.5156435023118,0.12544169595635088,0.629954517094268,2,12,100,0.001,4,,,,,,,
mushroom,incremental_pca,global_kmeans,0.1111416816711425,12.68724536895752,0.4234209578278952,6419.967110680362,0.12561700529479633,0.6301331992941213,2,2,100,0.001,4,,,,,,,
mushroom,incremental_pca,global_kmeans,0.2193992137908935,8.339882612228394,0.457198191601361,6747.761499558838,0.12544169595635088,0.629954517094268,2,3,100,0.001,4,,,,,,,
mushroom,incremental_pca,global_kmeans,0.14896821975708,32.04137468338013,1.1771287340415335,5352.176500909183,0.6236498310573861,0.8930236364873259,2,4,100,0.001,4,,,,,,,
mushroom,incremental_pca,optics,0.1440129280090332,4.252416133880615,1.1139275132424233,43.4709101266742,0.014464471413591543,2.0457567595212927e-05,278.0,10,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,incremental_pca,optics,0.1278932094573974,4.319002628326416,1.153776886922155,125.8637646854509,0.032255632484322394,3.0303030303030302e-05,250.0,11,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,incremental_pca,optics,0.1259927749633789,4.391942024230957,1.1697670220687537,117.2062692500123,0.016508366716556887,3.322700691121744e-05,228.0,12,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,incremental_pca,optics,0.1111416816711425,3.795081377029419,72.24407967241422,36.80864196240099,0.0010104446385582801,3.909395841966582e-05,242.0,2,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,incremental_pca,optics,0.2193992137908935,3.810673475265503,1.7245660817193522,46.81890742972177,0.003446015752407911,3.97509997376434e-05,238.0,3,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,incremental_pca,optics,0.14896821975708,3.848474740982056,1.853500994427531,71.75688574901761,0.021229146032045326,0.00018629106069038774,246.0,4,,,,euclidean,ball_tree,10,0.1,5,,
mushroom,kernel_pca,global_kmeans,,6.867521047592163,1.0917509738054263,1177.187493106898,0.022576212227377702,0.5017503463038482,2,10,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,,7.130929946899414,1.0186687602177114,1251.9903734776003,0.022576212227377702,0.5017503463038482,2,10,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,,6.839709997177124,0.8744168496848527,309.423341153382,-0.0010570048389222458,0.3741562826100301,2,10,100,0.001,4,,,,,,rbf,0.1
